0,county,title,url,fill_color
16,Carteret,"<p><em><strong>County 16</strong></em><br />	<br />	Director:&nbsp; Jessica Adams<br />	210 Craven St.,&nbsp;Beaufort, NC 28516<br />	P.O. Box 779&nbsp;<br />	Phone: 252-728-3181<br />	Fax Number: 252-648-7462<br />	<br />	Emergency Phone: 252-728-3181</p>",/divisions/social-services/carteret-county-department-social-services,Blue
17,Caswell,"<p><em><strong>County 17</strong></em></p><p>Director:&nbsp;&nbsp;Michelle Waddell<br />	175 County Park Road.,&nbsp;Yanceyville, NC 27379<br />	P.O. Box 1538<br />	Phone: 336-694-4141<br />	Fax Number: 336-694-1816</p><p>CPS: 336-694-2032, 336-694-2054<br />	APS: 336-694-2008</p>",/divisions/social-services/caswell-county-department-social-services,Blue
18,Catawba,"<p><em><strong>County 18</strong></em></p><p>Director:&nbsp;&nbsp;Karen Harrington<br />	3030 11th Ave. Drive, S.E., Hickory, NC 28602<br />	P.O. Box 669 Newton, NC 28658<br />	Phone:&nbsp;828-695-5600<br />	Fax Number: 828-695-2497</p><p>CPS: 828-324-9111<br />	APS: 828-695-5609<br />	Medicaid Transportation: 828-695-5608</p>",/divisions/social-services/catawba-county-department-social-services,Blue
19,Chatham,"<p><em><strong>County 19</strong></em><br />	<br />	Director:&nbsp; Jennie Kristiansen<br />	102 Camp Drive,&nbsp;Pittsboro, NC 27312<br />	P.O. Box 489<br />	Phone: 919-542-2759<br />	Fax: 919-542-6355<br />	<br />	Emergency Phone: 919-542-2911<br />	CPS: 919-542-2759</p>",/divisions/social-services/chatham-county-department-social-services,Blue
20,Cherokee,"<p><em><strong>County 20</strong></em></p><p><em><strong></strong></em>Director:&nbsp;&nbsp;Amanda Tanner-McGee<br />	4800 W US Highway 64, Murphy, NC 28906<br />	Phone: 828-837-7455<br />	Fax Number:&nbsp;828-835-4985</p><p>CPS: 828-835-3144<em><strong></strong></em></p>",/divisions/social-services/cherokee-county-department-social-services,Blue
21,Chowan,"<p><em><strong>County 21</strong></em><br />	<br />	Director:&nbsp; Tyeshia B. Phelps<br />	100 W. Freemason Circle, Edenton, NC 27932<br />	Phone: 252-482-7441<br />	Fax Number: 252-482-7041</p>",/divisions/social-services/chowan-county-department-social-services,Blue
22,Clay,"<p><em><strong>County 22</strong></em><br />	<br />	Director:&nbsp; Todd Goins<br />	119 Courthouse Drive,&nbsp;Hayesville, NC 28904<br />	P.O. Box 147<br />	Phone: 828-389-6301<br />	Fax Number: 828-389-6427</p>",/divisions/social-services/clay-county-department-social-services,Blue
23,Cleveland,"<p><em><strong>County 23</strong></em><br />	<br />	Interim Director:&nbsp; Rebecca Johnson<br />	130 South Post Road, Shelby, NC 28150<br />	P.O. Box&nbsp;9006, Shelby, NC 28151-9006<br />	Phone: 704-487-0661<br />	Fax Number: 704-480-5549<br />	<br />	Emergency Phone: 704-484-4822<br />	APS: 704-487-0661</p>",/divisions/social-services/cleveland-county-department-social-services,Blue
24,Columbus,"<p><em><strong>County 24</strong></em></p><p>Director:&nbsp;&nbsp;Dwella Hall<br />	40 Government Complex Road, Whiteville, NC 28472<br />	P.O. Box 397<br />	Phone: 910-642-2800<br />	Fax Number: 910-641-3970</p><p>CPS:&nbsp;910-641-3235<br />	APS:&nbsp;(910)641-3227<br />	Medicaid Transportation:&nbsp;910-642-7201</p>",/divisions/social-services/columbus-county-department-social-services,Blue
25,Craven,"<p><em><strong>County 25</strong></em></p><p>Director:&nbsp;&nbsp;Geoffrey Marett<br />	2818 Neuse Blvd., New Bern, NC 28561<br />	P.O. Box 12039<br />	Phone: 252-636-4900<br />	Fax Number: 252-636-4946</p><p>CPS/APS:252-633-2357<br />	Medicaid Transportation: 252-636-4917</p>",/divisions/social-services/craven-county-department-social-services,Blue
26,Cumberland,"<p><em><strong>County 26</strong></em><br />	<br />	Director:&nbsp; Brenda Reid Jackson<br />	1225 Ramsey St.,&nbsp;Fayetteville, NC 28301<br />	P.O. Box 2429<br />	Phone: 910-323-1540<br />	Fax Number: 910-677-2801<br />	<br />	Emergency Phone: 910-323-1500<br />	CPS: 910-677-2450<br />	APS: 910-677-2389<br />	Medicaid Transportation: 910-677-2526</p>",/divisions/social-services/cumberland-county-department-social-services,Blue
27,Currituck,"<p><em><strong>County 27</strong></em><br />	<br />	Director:&nbsp; Samantha Hurd<br />	2793 Caratoke Hwy., Currituck, NC 27929<br />	153 Courthouse Rd., Suite 400, Currituck, NC 27929 (Mailing)<br />	Phone: 252-232-3083<br />	Fax Number: 252-232-2167</p><p>&nbsp;</p>",/divisions/social-services/currituck-county-department-social-services,Blue
28,Dare,"<p><em><strong>County 28</strong></em><br />	<br />	Director:&nbsp; Chuck Lycett<br />	109 Exeter St.,&nbsp;Manteo, NC 27954<br />	P.O. Box 669<br />	Phone: 252-475-5500<br />	Fax Number: 252-473-9824<br />	<br />	Emergency Phone: 252-473-3444</p>",/divisions/social-services/dare-county-health-and-human-services,Blue
29,Davidson,"<p><em><strong>County 29</strong></em><br />	<br />	Interim Director:&nbsp; Amanda Pruitt<br />	Lexington Location<br />	913 Greensboro St., Lexington, NC 27292<br />	<br />	Thomasville Location<br />	211 W. Colonial Dr., Thomasville, NC 27360</p><p>P.O. Box 788 Lexington, NC 27293<br />	Phone: 336-242-2500<br />	Fax Number: 336-249-7588<br />	<br />	Emergency Phone: 336-249-0131<br />	Medicaid Transportation: 336-242-2272</p>",/divisions/social-services/davidson-county-department-social-services,Blue
30,Davie,"<p><em><strong>County 30</strong></em><br />	<br />	Director:&nbsp; Suzanne Wright<br />	154 Government Center Drive,&nbsp;Mocksville, NC 27028<br />	Phone: 336-753-6250<br />	Fax Number: 336-751-1639</p>",/divisions/social-services/davie-county-department-social-services,Blue
31,Duplin,"<p><em><strong>County 31</strong></em><br />	<br />	Director:&nbsp; Annie Murrell<br />	423 N. Main St.,&nbsp;Kenansville, NC 28349<br />	P.O. Box 969<br />	Phone: 910-296-2200<br />	Fax Number:&nbsp;910-296-2323</p><p>&nbsp;</p><p>Emergency Phone: 910-271-4985<br />	Medicaid Transportation: 910-296-2333</p>",/divisions/social-services/duplin-county-department-social-services,Blue
32,Durham,"<p><em><strong>County 32</strong></em><br />	<br />	Director:&nbsp; Maggie Clapp<br />	414 E. Main St.,&nbsp;Durham, NC 27702-0810<br />	P.O. Box 810<br />	Phone: 919-560-8000<br />	Fax Number: 919-560-8102<br />	<br />	Emergency Phone: 911<br />	CPS: 919-560-8424<br />	APS: 919-560-8588<br />	Medicaid Transportation: 919-560-0520&nbsp;</p>",/divisions/social-services/durham-county-department-social-services,Blue
33,Edgecombe,"<p><em><strong>County 33</strong></em><br />	<br />	Director:&nbsp; Betty Battle, Interim<br />	122 E. St. James St., Tarboro, NC 27886<br />	P.O. Box 370<br />	Phone: 252-641-7611<br />	Fax Number: 252-641-7980</p><p>&nbsp;</p><p>CPS/APS: 252-641-7668<br />	Medicaid Transportation: 252-972-1174&nbsp;</p>",/divisions/social-services/edgecombe-county-department-social-services,Blue
34,Forsyth,"<p><em><strong>County 34</strong></em><br />	<br />	Director:&nbsp; Christa Smith<br />	741 North Highland Ave., Winston-Salem, NC 27101<br />	Phone: 336-703-3800<br />	Fax Number: 336-727-2850</p><p>CPS: 336-703-2287<br />	APS: 336-703-3503</p>",/divisions/social-services/forsyth-county-department-social-services,Blue
35,Franklin,"<p><em><strong>County 35</strong></em><br />	<br />	Director:&nbsp; Andrew Payne<br />	107 Industrial Drive,&nbsp;Louisburg, NC 27549<br />	P.O. Box 669<br />	Phone: 919-496-5721<br />	Fax Number: 919-496-8137<br />	<br />	Emergency Phone: 911</p>",/divisions/social-services/franklin-county-department-social-services,Blue
36,Gaston,"<p><em><strong>County 36</strong></em><br /> Director:&nbsp; Shannon Myers<br />	DHHS Director:&nbsp; Steve Eaton<br />	330 Dr. Martin Luther King Jr. Way, Gastonia, NC 28052&nbsp;<br />	Phone: 704-862-7500<br />	Fax Number: 704-862-7885</p><p>CPS: 704-862-7555<br />	APS: 704-862-7575<br />	Medicaid Transportation: 704-866-3206</p>",/divisions/social-services/gaston-county-health-and-human-services-social-services-division,Blue
37,Gates,"<p><em><strong>County 37</strong></em><br />	<br />	Director:&nbsp; Willie R. Smith, III<br />	122 Main St.,&nbsp;Gatesville, NC 27938<br />	P.O. Box 185<br />	Phone: 252-357-0075<br />	Fax Number: 252-357-2132<br />	<br />	Emergency Phone: 252-357-0210<br />	Medicaid Transportation: 252-357-GITS (4487)</p>",/divisions/social-services/gates-county-department-social-services,Blue
38,Graham,"<p><em><strong>County 38</strong></em><br />	<br />	Interim Director:&nbsp; Melissa Blevins<br />	191 P &amp; J Road, Robbinsville, NC 28771<br />	P.O. Box 1878&nbsp;<br />	Phone: 828-479-7911<br />	Fax Number: 828-479-7928<br />	<br />	Emergency Phone: 828-479-3352</p>",/divisions/social-services/graham-county-department-social-services,Blue
39,Granville,"<p><em><strong>County 39</strong></em><br />	<br />	Director:&nbsp; Vanness Taylor<br />	410 West Spring St., Oxford NC 27565<br />	<br />	Phone: 919-693-1511<br />	Fax Number: 919-603-5090</p><p>&nbsp;</p><p>Medicaid Transportation: 919-603-3320</p>",/divisions/social-services/granville-county-department-social-services,Blue
40,Greene,"<p><em><strong>County 40</strong></em><br />	<br />	Director:&nbsp; Amanda Smith<br />	227 Kingold Blvd. Suite A, Snow Hill, NC 28580<br />	Phone: 252-747-5932<br />	Fax Number: 252-747-8654<br />	<br />	Emergency Phone: 252-747-7553<br />	Medicaid Transportation: 252-747-8474</p>",/divisions/social-services/greene-county-department-social-services,Blue
41,Guilford,"<p><em><strong>County 41</strong></em><br />	<br />	Director:&nbsp; Sharon Barlow<br />	Greensboro Office&nbsp;<br />	1203 Maple St., Greensboro, NC 27405<br />	<br />	High Point Office<br />	325 E Russell Ave., High Point, NC 27260&nbsp;<br />	<br />	P.O. Box 3388, Greensboro NC 27402<br />	Phone: 336-641-3000<br />	Fax Number: 336-641-6868<br />	<br />	Emergency Phone: 800-378-5315<br />	CPS: 336-641-3795<br />	APS: 336-641-3137<br />	Medicaid Transportation: 336-641-2561</p>",/divisions/social-services/guilford-county-department-social-services,Blue
42,Halifax,"<p><em><strong>County 42</strong></em><br />	<br />	Director:&nbsp; Dora Carter<br />	4421 Hwy 301,&nbsp;Halifax, NC 27839<br />	P.O. Box 767<br />	Phone: 252-536-2511<br />	Fax Number: 252-536-2432</p><p>&nbsp;</p><p>CPS: 252-536-6500<br />	APS: 252-536-6536<br />	Medicaid Transportation: 252-538-6720</p>",/divisions/social-services/halifax-county-department-social-services,Blue
43,Harnett,"<p><em><strong>County 43</strong></em><br />	<br />	Director:&nbsp; Kelly Kelly<br />	311 Cornelius Harnett Blvd.,&nbsp;Lillington, NC 27546<br />	P.O. Box 2169&nbsp;<br />	Phone: 910-893-7500<br />	Fax Number: 910-912-1853<br />	<br />	CPS: 910-893-9111, 910-814-6662<br />	APS: 910-814-6640</p>",/divisions/social-services/harnett-county-department-social-services,Blue
44,Haywood,"<p><em><strong>County 44</strong></em><br />	<br />	Director:&nbsp; Ira Dove<br />	157 Paragon Parkway, Suite 300, Clyde, NC 28721<br />	Phone: 828-452-6620<br />	Fax Number: 828-452-6690</p><p>&nbsp;</p><p>Emergency Phone: 828-452-6600<br />	APS: 828-452-6620, Option 1<br />	Medicaid Transportation:&nbsp;828-452-6620, Option 3</p>",/divisions/social-services/haywood-county-health-and-human-services,Blue
45,Henderson,"<p><em><strong>County 45</strong></em><br />	<br />	Director:&nbsp; Lorie Horne<br />	1200 Spartanburg Hwy., Suite 300, Hendersonville, N.C. &nbsp;28792&nbsp;<br />	Phone: 828-697-5500<br />	Fax Number: 828-697-4544/> APS 828-694-6241 /> Medicaid Transportation 828-694-6161</p><p>&nbsp;</p><p>CPS: 828-697-5572</p>",/divisions/social-services/henderson-county-department-social-services,Blue
46,Hertford,"<p><em><strong>County 46</strong></em><br />	<br />	Director:&nbsp; Brenda Brown<br />	704 N King St., Winton, NC 27986<br />	P.O. Box 218<br />	Phone: 252-358-7830<br />	Fax Number: 252-358-0597</p>",/divisions/social-services/hertford-county-department-social-services,Blue
47,Hoke,"<p><em><strong>County 47</strong></em><br />	<br />	Director:&nbsp; Terry Stanton<br />	314 South Magnolia St.,&nbsp;Raeford, NC 28376<br />	P.O. Box 340&nbsp;<br />	Phone: 910-875-8725<br />	Fax Number: 910-875-1068</p><p>Emergency Phone: 911<br />	CPS/APS: 910-878-1988<br />	Medicaid Transportation: 910-875-8588</p>",/divisions/social-services/hoke-county-department-social-services,Blue
48,Hyde,"<p><em><strong>County 48</strong></em><br />	<br />	Interim Director:&nbsp; Wes Stewart<br />	35015 US Hwy 264, Engelhard, NC &nbsp;27824<br />	P.O. Box 100<br />	Phone: 252-926-4199<br />	Fax Number: 252-926-3711</p><p>&nbsp;</p><p>Medicaid Transportation: 252-926-1637</p>",/divisions/social-services/hyde-county-department-social-services,Blue
49,Iredell,"<p><em><strong>County 49</strong></em><br />	<br />	Director:&nbsp; Yvette Smith<br />	549 Eastside Drive, Statesville, NC 28625<br />	Phone: 704-873-5631<br />	Fax Number: 704-878-5419</p>",/divisions/social-services/iredell-county-department-social-services,Blue
50,Jackson,"<p><em><strong>County 50</strong></em><br />	<br />	Director:&nbsp; Cris Weatherford<br />	15 Griffin St., Sylva, NC 28779<br />	Phone: 828-586-5546<br />	Fax Number: 828-586-6270,&nbsp;828-587-2099&nbsp;<br />	<br />	Emergency Phone: 828-586-1911</p>",/divisions/social-services/jackson-county-department-social-services,Blue
51,Johnston,"<p><em><strong>County 51</strong></em><br />	<br />	Director:&nbsp; Christine M. Dowdell<br />	714 North St.,&nbsp;Smithfield, NC 27577<br />	P.O. Box 911<br />	Phone: 919-989-5300<br /> CPS Intake: 919-989-5442<br/>  Fax Number: 919-989-5324</p>",/divisions/social-services/johnston-county-department-social-services,Blue
52,Jones,"<p><em><strong>County 52</strong></em><br />	<br />	Director:&nbsp; Christopher Meadows<br />	418 NC HWY 58 N., Unit D, Trenton, NC 28585<br />	Phone: 252-448-2581<br />	Fax Number: 252-448-5651<br />	<br />	Emergency Phone: 252-559-6118</p>",/divisions/social-services/jones-county-department-social-services,Blue
53,Lee,"<p><em><strong>County 53</strong></em><br />	<br />	Director:&nbsp; Takishia McMiller<br />	530 Carthage St.,&nbsp;Sanford, NC 27330<br />	P.O. Box 1066<br />	Phone: 919-718-4690<br />	Fax: 919-718-4634<br />	<br />	Emergency Phone: 919-718-4560 (Sheriff&#39;s Office)<br />	Medicaid Transportation: 919-776-7201</p>",/divisions/social-services/lee-county-department-social-services,Blue
54,Lenoir,"<p><em><strong>County 54</strong></em><br />	<br />	Director:&nbsp; Jeff Harrison<br />	130 W. King St.,&nbsp;Kinston, NC 28502<br />	P.O. Box 6<br />	Phone: 252-559-6400<br />	Fax Number: 252-559-6381<br />	<br />	Emergency Phone: 252-559-8331 Nights/Weekends 252-559-6118&nbsp;</p>",/divisions/social-services/lenoir-county-department-social-services,Blue
55,Lincoln,"<p><em><strong>County 55</strong></em><br />	<br />	Director:&nbsp; Matthew Hillman<br />	1136 E. Main St.,&nbsp;Lincolnton, NC 28093<br />	P.O. Box 130<br />	Phone: 704-732-0738<br />	Fax Number: 704-736-8727</p><p>&nbsp;</p><p>CPS: 704-736-8678<br />	APS: 704-732-1969<br />	Medicaid Transportation: 704-736-2030</p>",/divisions/social-services/lincoln-county-department-social-services,Blue
56,Macon,"<p><em><strong>County 56</strong></em><br />	<br />	Director:&nbsp; Patrick Betancourt<br />	1832 Lakeside Drive, Franklin, NC 28734<br />	Phone: 828-349-2124<br />	Fax Number: 828-349-2401<br />	<br />	Emergency Phone: 828-524-2811<br />	Medicaid Transportation: 828-349-2222</p>",/divisions/social-services/macon-county-department-social-services,Blue
57,Madison,"<p><em><strong>County 57</strong></em><br />	<br />	Director:&nbsp; Connie Harris<br />	5707 U.S. Hwy&nbsp;25/70, Suite 1, Marshall, NC 28753<br />	Phone: 828-649-9498<br />	Fax Number: 828-649-3687<br />	<br />	Emergency Phone: 828-649-2721</p>",/divisions/social-services/madison-county-department-social-services,Blue
58,Martin,"<p><em><strong>County 58</strong></em><br />	<br />	Director:&nbsp; Angela Ellis<br />	305 E. Main St.,&nbsp;Williamston, NC 27892<br />	P.O. Box 809<br />	Phone: 252-789-4400<br />	Fax Number: 252-789-4409</p><p>&nbsp;</p><p>CPS/APS/Medicaid Transportation: 252-789-4460</p>",/divisions/social-services/martin-county-department-social-services,Blue
59,McDowell,"<p><em><strong>County 59</strong></em><br />	<br />	Director:&nbsp; Bobbie Sigmon<br />	145 E. Court St.,&nbsp;Marion, NC 28752<br />	P.O. Box 338<br />	Phone:828-652-3355&nbsp;<br />	<br />	Emergency Phone: 828-652-4000<br />	Medicaid Transportation: 828-659-0634</p>",/divisions/social-services/mcdowell-county-department-social-services,Blue
60,Mecklenburg,"<p><em><strong>County 60</strong></em><br />	<br />	Interim Director:&nbsp; Letecia Loadholt<br />	Ella B. Scarborough Community Resource Center, <br />  430 Stitt Road,&nbsp;Charlotte, NC 28213<br /><br />	Valerie C. Woodard Community Center, <br />3205 Freedom Drive (Building A), Charlotte, NC 28208<br /><br />	Mailing Address:<br />P.O. Box 220999, Charlotte, NC 28222<br />	Phone: 704-336-3000<br />	Fax Number: 704-353-1325</p><p>&nbsp;</p><p>Report Abuse (Child Protective Services): 980-31-HELPS (43577)<br />	Report Abuse (Adult Protective Services): 704-336-CARE (2273)</p>",/divisions/social-services/mecklenburg-county-department-social-services,Blue
61,Mitchell,"<p><em><strong>County 61</strong></em><br />	<br />	Director:&nbsp; Wendy Boone<br />	347 Long View Drive, Bakersville, NC 28705<br />	Phone: 828-688-2175 or 828-537-1656<br />	Fax Number: 828-688-4940<br />	<br />	Emergency Phone: 828-688-9110 or 828-688-9974<br />	CPS: 828-688-2175 ext. 1538<br />	APS: 828-688-2175, ext. 1544<br />	Medicaid Transportation: 828-688-4715</p>",/divisions/social-services/mitchell-county-department-social-services,Blue
62,Montgomery,"<p><em><strong>County 62</strong></em><br />	<br />	Director:&nbsp; Kris Hernandez<br />	102 E. Spring St., Drawer N, Troy, NC 27371<br />	Phone: 910-576-6531<br />	Fax Number: 910-576-5016<br />	<br />	Emergency Phone: 910-572-1313</p>",/divisions/social-services/montgomery-county-department-social-services,Blue
63,Moore,"<p><em><strong>County 63</strong></em><br />	<br />	Interim Director:&nbsp; David Richmond<br />	1036 Carriage Oaks Drive,&nbsp;Carthage, NC 28327<br />	P.O. Box 938<br />	Phone: 910-947-2436<br />	Fax Number: 910-947-1618</p><p>CPS/APS: 910-947-5683<br />	Medicaid Transportation: 910-947-3389</p>",/divisions/social-services/moore-county-department-social-services,Blue
64,Nash,"<p><em><strong>County 64</strong></em><br />	<br />	Director:&nbsp; Denita DeVega<br />	120 Washington St.&nbsp;Nashville, NC 27856<br />	P.O. Drawer 819<br />	Phone: 252-459-9818<br />	Fax Number: 252-459-9833</p><p>&nbsp;</p><p>CPS: 252-459-1293<br />	APS: 252-462-2711<br />	Medicaid Transportation: 252-459-2731</p>",/divisions/social-services/nash-county-human-services-department-social-services,Blue
65,"New Hanover","<p><em><strong>County 65</strong></em><br />	<br />	Director:&nbsp; Holly Royals<br />	1650 Greenfield St.,&nbsp;Wilmington, NC 28401<br />	Phone: 910-798-3500<br />	Fax Number: 910-798-7824 &nbsp;<br />	<br />	Emergency Phone: 911<br />	CPS/APS: 910-798-3500 and then press *<br />	Medicaid Transportation: 910-798-3500 and then press 7</p>",/divisions/social-services/new-hanover-county-department-social-services,Blue
66,Northampton,"<p><em><strong>County 66</strong></em><br />	<br />	Director:&nbsp; Shelia Evans<br />	9588 NC 305 HWY,&nbsp;Jackson, NC 27845<br />	P.O. Box 157<br />	Phone: 252-534-5811<br />	Fax Number: 252-534-0061<br />	<br />	Emergency Phone: 252-534-1773, 252-534-1246</p>",/divisions/social-services/northampton-county-department-social-services,Blue
67,Onslow,"<p><em><strong>County 67</strong></em><br />	<br />	Director:&nbsp; Susan Thigpen<br />	612 College St., Jacksonville, NC 28540<br />	P.O. Box 1379, Jacksonville, NC 28541<br />	Phone: 910-455-4145<br />	Fax Number: 910-219-4983<br />	<br />	Emergency Phone: 910-455-3113&nbsp;<br />	CPS: 910-219-1955<br />	APS: 910-989-0230<br />	Medicaid Transportation: 910-989-3013</p>",/divisions/social-services/onslow-county-department-social-services,Blue
68,Orange,"<p><em><strong>County 68</strong></em><br />	<br />	Director:&nbsp; Lindsey Shewmaker<br />	113 Mayo St., Hillsborough, NC 27278<br />	P.O. Box 8181<br />	Phone: 919-245-2800<br />	Fax Number : 919-644-3005<br />	Emergency Phone: 919-732-8181<br />   Medicaid Transportation: 919-245-2774</p>",/divisions/social-services/orange-county-department-social-services,Blue
69,Pamlico,"<p><em><strong>County 69</strong></em><br />	<br />	Director:&nbsp; Deborah S. Green<br />	828 Alliance Main St., Bayboro, NC 28515<br />	Phone: 252-745-4086<br />	Fax Number: 252-745-7384<br />	<br />	Emergency Phone: 252-745-4086</p>",/divisions/social-services/pamlico-county-human-services-center,Blue
70,Pasquotank,"<p><em><strong>County 70</strong></em><br />	<br />	Director:&nbsp; Carolyn T. Perry<br />	709 Roanoke Ave., Elizabeth City, NC 27909<br />	Phone: 252-338-2126<br />	</p>",/divisions/social-services/pasquotank-county-department-social-services,Blue
71,Pender,"<p><em><strong>County 71</strong></em><br />	<br />	Director:&nbsp; Joseph ""Rich"" Blankenship<br />	298-B Progress Drive,&nbsp;Burgaw, NC 28425<br />	P.O. Drawer 1207<br />	Phone: 910-259-1240<br />	Fax Number: 910-259-1418<br />	<br />	Emergency Phone: 910-259-1212</p>",/divisions/social-services/pender-county-department-social-services,Blue
72,Perquimans,"<p><em><strong>County 72</strong></em><br />	<br />	Director:&nbsp; Angela Jordan<br />	103 Charles St.,&nbsp;Hertford, NC 27944<br />	P.O. Box 107<br />	Phone: 252-426-7373<br />	Fax: 252-426-1240<br />	<br />	Emergency Phone: 252-426-5751</p>",/divisions/social-services/perquimans-county-department-social-services,Blue
