rank,org_name,city,phone,programs,counties_count,zips_count,population_reach,counties,zips
11,"San Antonio, City of, Department of Human Services",San Antonio,+12102078198,"CEAP, CSBG, WAP",1,97,2107424,Bexar,78002 78006 78015 78023 78039 78052 78054 78069 78073 78101 78109 78112 78148 78150 78152 78154 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299
12,Community Action Corporation of South Texas,Alice,+13616640145,"CEAP, CSBG, WAP",14,108,1859565,Bee; Brooks; Cameron; Duval; Hidalgo; Jim Hogg; Jim Wells; Kenedy; Kleberg; San Patricio; Starr; Webb; Willacy; Zapata,78019 78040 78041 78042 78043 78044 78045 78046 78067 78076 78102 78104 78119 78125 78142 78146 78162 78332 78335 78336 78338 78341 78344 78349 78352 78353 78355 78357 78359 78360 78361 78362 78363 78368 78369 78370 78371 78372 78374 78375 78376 78379 78383 78384 78385 78387 78389 78390 78391 78501 78502 78503 78504 78505 78516 78520 78521 78522 78523 78526 78535 78536 78537 78538 78539 78540 78541 78542 78543 78545 78547 78548 78550 78551 78552 78553 78557 78559 78560 78561 78562 78563 78564 78566 78569 78570 78572 78573 78574 78575 78576 78577 78578 78579 78580 78582 78583 78584 78586 78588 78589 78591 78593 78595 78596 78597 78598 78599
13,"Combined Community Action, Inc.",Giddings,+19795402980,"CEAP, CSBG, WAP",10,100,1670147,Austin; Bastrop; Blanco; Caldwell; Colorado; Fayette; Fort Bend; Hays; Lee; Wharton,77053 77083 77406 77407 77412 77417 77418 77420 77423 77426 77430 77434 77435 77437 77441 77442 77444 77448 77450 77451 77453 77454 77455 77459 77461 77467 77469 77470 77471 77474 77475 77477 77478 77479 77481 77485 77487 77488 77489 77494 77496 77497 77498 77545 77583 77584 77853 78602 78606 78610 78612 78616 78617 78619 78620 78621 78632 78635 78636 78640 78644 78648 78650 78652 78655 78656 78659 78661 78662 78663 78666 78667 78676 78737 78931 78932 78933 78934 78935 78938 78940 78941 78942 78943 78944 78945 78946 78947 78948 78949 78950 78951 78952 78953 78954 78956 78957 78959 78962 78963
14,City of Austin Health and Human Services Department,Austin,+15129725000,"CEAP, CSBG, WAP",1,74,1642866,Travis,78610 78613 78615 78617 78620 78621 78641 78645 78652 78653 78660 78664 78669 78691 78701 78702 78703 78704 78705 78708 78709 78711 78714 78715 78716 78718 78719 78720 78721 78722 78723 78724 78725 78726 78727 78728 78729 78730 78731 78732 78733 78734 78735 78736 78737 78738 78739 78741 78742 78744 78745 78746 78747 78748 78749 78750 78751 78752 78753 78754 78755 78756 78757 78758 78759 78760 78761 78762 78763 78764 78765 78766 78767 78768
15,Travis County Health & Human Services/Veterans Services,Austin,+15128547250,"CEAP, CSBG, WAP",1,74,1642866,Travis,78610 78613 78615 78617 78620 78621 78641 78645 78652 78653 78660 78664 78669 78691 78701 78702 78703 78704 78705 78708 78709 78711 78714 78715 78716 78718 78719 78720 78721 78722 78723 78724 78725 78726 78727 78728 78729 78730 78731 78732 78733 78734 78735 78736 78737 78738 78739 78741 78742 78744 78745 78746 78747 78748 78749 78750 78751 78752 78753 78754 78755 78756 78757 78758 78759 78760 78761 78762 78763 78764 78765 78766 78767 78768
16,"Hill Country Community Action Association, Inc.",San Saba,+13253725167,"CEAP, CSBG, WAP",13,110,1373509,Bell; Burnet; Coryell; Erath; Hamilton; Lampasas; Llano; Mason; Milam; Mills; San Saba; Somervell; Williamson,76043 76070 76077 76401 76433 76436 76445 76446 76453 76457 76462 76463 76465 76501 76502 76503 76504 76511 76513 76518 76519 76520 76522 76525 76527 76528 76530 76531 76533 76534 76537 76538 76539 76540 76541 76542 76543 76544 76547 76548 76549 76550 76554 76556 76557 76559 76561 76565 76566 76567 76569 76571 76573 76574 76577 76578 76579 76649 76689 76690 76820 76824 76831 76832 76842 76844 76853 76856 76864 76869 76870 76871 76872 76877 76885 76890 77857 78605 78607 78608 78609 78611 78613 78615 78621 78626 78627 78628 78630 78633 78634 78639 78641 78642 78643 78646 78654 78657 78664 78665 78669 78672 78674 78680 78681 78683 78717 78728 78729 78750
17,Brazos Valley Community Action Programs,Bryan,+19795952800,"CEAP, CSBG, WAP",12,91,1354836,Brazos; Burleson; Chambers; Grimes; Leon; Liberty; Madison; Montgomery; Robertson; Walker; Waller; Washington,75831 75833 75846 75850 75852 75855 76629 76687 77301 77302 77303 77304 77305 77306 77316 77318 77320 77327 77328 77339 77340 77342 77353 77354 77355 77356 77357 77358 77362 77363 77365 77372 77378 77380 77381 77382 77384 77385 77386 77387 77393 77423 77426 77445 77446 77447 77484 77493 77514 77523 77533 77535 77538 77560 77564 77575 77580 77597 77665 77801 77802 77803 77805 77806 77807 77808 77830 77831 77833 77834 77835 77836 77837 77840 77841 77842 77845 77856 77859 77861 77864 77865 77868 77871 77872 77873 77879 77880 77881 78932 78946
18,"Community Council of South Central Texas, Inc.",Seguin,+18303034376,"CEAP, CSBG, WAP",30,145,1022973,Atascosa; Bandera; Brewster; Comal; Crane; Culberson; Dimmit; Edwards; Frio; Gillespie; Guadalupe; Hudspeth; Jeff Davis; Karnes; Kendall; Kerr; Kinney; La Salle; Live Oak; Maverick; McMullen; Medina; Pecos; Presidio; Real; Terrell; Uvalde; Val Verde; Wilson; Zavala,78001 78003 78004 78005 78006 78007 78008 78009 78010 78011 78012 78013 78014 78015 78016 78017 78019 78021 78022 78024 78025 78026 78027 78028 78029 78039 78050 78052 78055 78056 78057 78058 78059 78060 78061 78062 78063 78064 78065 78066 78069 78070 78071 78072 78073 78074 78075 78101 78108 78111 78113 78114 78115 78116 78117 78118 78119 78121 78123 78124 78130 78131 78132 78133 78140 78141 78147 78151 78154 78155 78156 78160 78161 78163 78253 78264 78266 78350 78368 78383 78618 78623 78624 78631 78638 78648 78655 78670 78671 78675 78801 78802 78827 78828 78829 78830 78832 78833 78834 78836 78837 78838 78839 78840 78841 78842 78850 78851 78852 78853 78860 78861 78870 78871 78872 78873 78877 78879 78880 78881 78883 78884 78885 78886 79730 79731 79734 79735 79740 79743 79744 79781 79830 79837 79839 79842 79843 79845 79846 79847 79848 79851 79852 79854 79855
19,Economic Opportunities Advancement Corporation,Waco,+12547530331,"CEAP, CSBG, WAP",9,111,945408,Bosque; Ellis; Falls; Freestone; Hill; Johnson; Limestone; McLennan; Navarro,75102 75105 75109 75110 75119 75125 75144 75151 75152 75153 75154 75155 75165 75167 75168 75831 75838 75840 75846 75848 75855 75859 75860 76009 76028 76031 76033 76036 76041 76044 76050 76055 76058 76059 76061 76063 76064 76065 76084 76093 76097 76457 76524 76557 76570 76621 76622 76624 76626 76627 76628 76629 76630 76631 76632 76633 76634 76635 76636 76637 76638 76639 76640 76641 76642 76643 76645 76648 76649 76651 76652 76653 76655 76656 76657 76660 76661 76664 76665 76666 76667 76670 76671 76673 76676 76678 76679 76680 76681 76682 76685 76687 76689 76690 76691 76692 76693 76701 76702 76703 76704 76705 76706 76707 76708 76710 76711 76712 76714 76716 76798
20,Hidalgo County Community Services Agency,Edinburg,+19563836240,"CEAP, CSBG, WAP",1,28,869184,Hidalgo,78501 78502 78503 78504 78505 78516 78537 78538 78539 78540 78541 78542 78543 78557 78560 78562 78563 78570 78572 78573 78574 78576 78577 78579 78589 78595 78596 78599
21,Rolling Plains Management Corporation,Crowell,+19406841571,"CEAP, CSBG, WAP",28,149,868903,Archer; Baylor; Brown; Callahan; Clay; Comanche; Cottle; Eastland; Foard; Hardeman; Haskell; Hood; Jack; Jones; Kent; Knox; Montague; Palo Pinto; Parker; Shackelford; Stephens; Stonewall; Taylor; Throckmorton; Wichita; Wilbarger; Wise; Young,76008 76020 76023 76035 76048 76049 76066 76067 76071 76073 76078 76082 76085 76086 76087 76088 76098 76108 76225 76228 76230 76234 76239 76251 76255 76261 76265 76270 76301 76302 76305 76306 76307 76308 76309 76310 76311 76351 76354 76357 76360 76363 76364 76365 76366 76367 76370 76371 76372 76373 76374 76377 76379 76380 76384 76388 76389 76424 76426 76427 76429 76430 76431 76432 76433 76435 76436 76437 76442 76443 76444 76445 76446 76448 76449 76450 76453 76454 76455 76458 76459 76460 76462 76463 76464 76468 76470 76471 76472 76474 76475 76476 76481 76483 76484 76486 76487 76490 76491 76801 76802 76803 76804 76823 76827 76857 76890 79225 79227 79247 79248 79252 79501 79502 79503 79504 79505 79508 79510 79518 79519 79520 79521 79525 79528 79529 79530 79533 79536 79539 79540 79541 79544 79547 79548 79553 79560 79561 79562 79563 79566 79601 79602 79603 79604 79605 79606 79607 79608
22,"El Paso Community Action, Project BRAVO",El Paso,+19155624100,"CEAP, CSBG, WAP",1,56,865537,El Paso,79821 79835 79836 79838 79849 79853 79901 79902 79903 79904 79905 79906 79907 79908 79911 79912 79913 79914 79915 79916 79917 79922 79923 79924 79925 79926 79927 79928 79929 79930 79931 79932 79934 79935 79936 79937 79938 79940 79941 79942 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79995 79996 79997
23,"Williamson-Burnet County Opportunities, Inc.",Georgetown,+15127631400,"CEAP, CSBG, WAP",2,37,793830,Burnet; Williamson,76511 76527 76530 76537 76550 76573 76574 76578 78605 78608 78611 78613 78615 78621 78626 78627 78628 78630 78633 78634 78639 78641 78642 78646 78654 78657 78664 78665 78669 78674 78680 78681 78683 78717 78728 78729 78750
24,Crossroads Community Action,Victoria,+18006950314,"CEAP, CSBG, WAP",15,111,770504,Aransas; Bee; Brazoria; Calhoun; DeWitt; Goliad; Gonzales; Jackson; Lavaca; Live Oak; Matagorda; McMullen; Refugio; Victoria; Wharton,77404 77414 77419 77420 77422 77428 77430 77434 77435 77437 77444 77448 77453 77454 77455 77457 77458 77465 77467 77468 77480 77482 77486 77488 77511 77512 77515 77516 77531 77534 77541 77542 77566 77577 77578 77581 77583 77584 77588 77901 77902 77903 77904 77905 77950 77951 77954 77957 77960 77961 77962 77963 77964 77967 77968 77969 77970 77971 77974 77975 77976 77977 77978 77979 77982 77983 77984 77986 77988 77990 77991 77994 77995 78007 78008 78022 78060 78071 78072 78075 78102 78104 78107 78119 78122 78125 78140 78141 78142 78146 78159 78162 78164 78336 78340 78350 78358 78368 78377 78381 78382 78383 78389 78391 78393 78614 78629 78632 78677 78956 78959
25,Texas Neighborhood Services,Weatherford,+18175985700,"CEAP, CSBG, WAP",7,60,734252,Erath; Hood; Johnson; Palo Pinto; Parker; Somervell; Wise,76008 76009 76020 76023 76028 76031 76033 76035 76036 76043 76044 76048 76049 76050 76058 76059 76061 76063 76066 76067 76070 76071 76073 76077 76078 76082 76084 76085 76086 76087 76088 76093 76097 76098 76108 76225 76234 76270 76401 76426 76429 76431 76433 76445 76446 76449 76453 76457 76462 76463 76465 76472 76475 76476 76484 76486 76487 76490 76649 76690
26,"West Texas Opportunities, Inc.",Lamesa,+18068728354,"CEAP, CSBG, WAP",18,69,510349,Andrews; Borden; Dawson; Ector; Fisher; Gaines; Glasscock; Howard; Loving; Martin; Midland; Mitchell; Nolan; Reeves; Scurry; Upton; Ward; Winkler,79331 79342 79351 79359 79360 79377 79506 79511 79512 79517 79526 79527 79532 79534 79535 79537 79543 79545 79546 79549 79556 79560 79561 79565 79701 79702 79703 79704 79705 79706 79707 79708 79710 79712 79713 79714 79718 79719 79720 79733 79738 79739 79741 79742 79745 79748 79749 79752 79755 79756 79758 79759 79760 79761 79762 79763 79764 79765 79766 79768 79769 79770 79772 79777 79778 79782 79783 79785 79789
27,Panhandle Community Services,Amarillo,+18063722531,"CEAP, CSBG, WAP",26,96,439754,Armstrong; Briscoe; Carson; Castro; Childress; Collingsworth; Dallam; Deaf Smith; Donley; Gray; Hall; Hansford; Hartley; Hemphill; Hutchinson; Lipscomb; Moore; Ochiltree; Oldham; Parmer; Potter; Randall; Roberts; Sherman; Swisher; Wheeler,73960 79001 79002 79003 79005 79007 79008 79009 79010 79011 79012 79013 79014 79015 79018 79019 79022 79024 79027 79029 79033 79034 79035 79036 79039 79040 79042 79043 79044 79045 79046 79051 79052 79056 79057 79058 79059 79061 79062 79063 79065 79066 79068 79070 79078 79079 79080 79081 79083 79084 79085 79086 79087 79088 79091 79092 79093 79094 79095 79096 79097 79098 79101 79102 79103 79104 79105 79106 79107 79108 79109 79110 79111 79114 79116 79117 79118 79119 79120 79121 79124 79159 79201 79226 79230 79237 79239 79240 79245 79251 79255 79257 79259 79261 79325 79347
28,"South Plains Community Action Association, Inc.",Levelland,+18068946104,"CEAP, CSBG, WAP",15,80,430794,Bailey; Cochran; Crosby; Dickens; Floyd; Garza; Hale; Hockley; King; Lamb; Lubbock; Lynn; Motley; Terry; Yoakum,79031 79032 79041 79043 79064 79072 79073 79082 79220 79221 79229 79234 79235 79236 79241 79243 79244 79248 79250 79255 79256 79258 79311 79312 79313 79314 79316 79322 79323 79324 79326 79329 79330 79336 79339 79343 79344 79345 79346 79347 79350 79351 79353 79355 79356 79357 79358 79359 79363 79364 79366 79367 79370 79371 79372 79373 79376 79381 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499
29,Southeast Texas Regional Planning Commission,Beaumont,+14098998444,CEAP,3,40,408189,Hardin; Jefferson; Orange,77376 77519 77564 77585 77611 77613 77619 77622 77625 77627 77629 77630 77631 77632 77639 77640 77641 77642 77643 77651 77655 77656 77657 77659 77662 77663 77665 77670 77701 77702 77703 77704 77705 77706 77707 77708 77713 77720 77725 77726
30,Nueces County Community Action Agency,Corpus Christi,+13618837201,"CEAP, CSBG, WAP",1,36,356424,Nueces,78330 78339 78343 78351 78373 78380 78383 78401 78402 78403 78404 78405 78406 78407 78408 78409 78410 78411 78412 78413 78414 78415 78416 78417 78418 78419 78426 78427 78460 78463 78465 78466 78467 78468 78469 78480
31,"Tri-County Community Action, Inc.",Center,+19365986315,"CEAP, CSBG, WAP",9,55,341265,Harrison; Jasper; Newton; Panola; Sabine; San Augustine; Shelby; Tyler; Upshur,75601 75602 75605 75631 75633 75639 75640 75642 75643 75644 75645 75647 75650 75651 75661 75669 75670 75671 75672 75683 75686 75688 75691 75692 75755 75928 75929 75930 75931 75932 75933 75935 75936 75938 75942 75948 75951 75954 75956 75959 75966 75968 75972 75973 75974 75975 75977 75979 77612 77616 77624 77632 77660 77663 77664
32,"Community Services of Northeast Texas, Inc.",Linden,+19037565596,"CEAP, CSBG, WAP",12,75,339102,Bowie; Camp; Cass; Delta; Franklin; Hopkins; Lamar; Marion; Morris; Rains; Red River; Titus,75410 75411 75412 75415 75416 75417 75420 75421 75426 75431 75432 75433 75435 75436 75437 75440 75441 75446 75448 75450 75451 75453 75455 75456 75457 75460 75461 75462 75468 75469 75470 75471 75472 75473 75477 75478 75480 75481 75482 75483 75486 75487 75494 75497 75501 75503 75504 75505 75550 75551 75554 75555 75556 75558 75559 75560 75561 75562 75563 75564 75566 75567 75568 75569 75570 75571 75572 75574 75630 75638 75656 75657 75668 75683 75686
33,Community Action Inc. of Central Texas,San Marcos,+15123921161,"CEAP, CSBG, WAP",3,22,326428,Blanco; Caldwell; Hays,78606 78610 78616 78619 78620 78632 78635 78636 78640 78644 78648 78652 78655 78656 78661 78662 78663 78666 78667 78676 78737 78953
