WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA
,30,Alamance County Department of Social Services,Burlington,"319 N. Graham-Hopedale Road, Suite C, Burlington, NC 27217",+13365706532,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"183,040",Alamance,27201 27215 27216 27217 27244 27249 27253 27258 27298 27302 27349 27359,NCDHHS Local DSS Directory,alamance-county-department-of-social-services-energy,alamance-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,31,Alexander County Department of Social Services,Taylorsville,"604 Seventh St. SW, Taylorsville, NC 28681",+18286321080,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,4,"36,693",Alexander,28601 28636 28678 28681,NCDHHS Local DSS Directory,alexander-county-department-of-social-services-energy,alexander-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,32,Alleghany County Department of Social Services,Sparta,"182 Doctors St., Sparta, NC 28675",+13363722411,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"11,379",Alleghany,28623 28627 28631 28644 28663 28668 28672 28675,NCDHHS Local DSS Directory,alleghany-county-department-of-social-services-energy,alleghany-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,33,Anson County Department of Social Services,Wadesboro,"118 N. Washington St., Wadesboro, NC 28170",+17046949351,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"22,432",Anson,28007 28091 28119 28133 28135 28170,NCDHHS Local DSS Directory,anson-county-department-of-social-services-energy,anson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,34,Ashe County Department of Social Services,Jefferson,"150 Government Circle, Suite 1400, Jefferson, NC 28640",+13368465719,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"27,266",Ashe,28615 28617 28626 28629 28631 28640 28643 28644 28672 28684 28693 28694 28698,NCDHHS Local DSS Directory,ashe-county-department-of-social-services-energy,ashe-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,35,Avery County Department of Social Services,Newland,"358 Beech St., Newland, NC 28657",+18287338230,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"17,811",Avery,28604 28611 28622 28657 28777,NCDHHS Local DSS Directory,avery-county-department-of-social-services-energy,avery-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,36,Beaufort County Department of Social Services,Washington,"632 W. Fifth St., Washington, NC 27889",+12529755500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"44,576",Beaufort,27806 27808 27810 27814 27817 27821 27837 27860 27865 27889 27962 28586,NCDHHS Local DSS Directory,beaufort-county-department-of-social-services-energy,beaufort-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,37,Bertie County Department of Social Services,,"110 Jasper Bazemore Ave. Windsor, NC 27983",+12527945320,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"16,939",Bertie,27805 27847 27849 27872 27910 27924 27957 27983,NCDHHS Local DSS Directory,bertie-county-department-of-social-services-energy,bertie-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,38,Bladen County Department of Social Services,Elizabethtown,"208 McKay St., Elizabethtown, NC 28337",+19108626800,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"29,777",Bladen,28320 28337 28384 28392 28399 28423 28433 28434 28438 28441 28444 28447 28448 28456,NCDHHS Local DSS Directory,bladen-county-department-of-social-services-energy,bladen-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,39,Brunswick County Department of Social Services,Bolivia,"60 Government Drive, NE, Bolivia, NC 28422",+19102532077,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"167,112",Brunswick,28420 28422 28451 28452 28456 28459 28461 28462 28465 28467 28468 28469 28470 28479,NCDHHS Local DSS Directory,brunswick-county-department-of-social-services-energy,brunswick-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,40,Buncombe County Department of Social Services,,"40 Coxe Ave. Asheville, NC 28802",+18282505500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,24,"279,210",Buncombe,28701 28704 28709 28711 28715 28728 28730 28732 28748 28753 28757 28776 28778 28787 28801 28802 28803 28804 28805 28806 28813 28814 28815 28816,NCDHHS Local DSS Directory,buncombe-county-department-of-social-services-energy,buncombe-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,41,Burke County Department of Social Services,Morganton,"700 East Parker Road, Morganton, NC 28680",+18287649600,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"88,545",Burke,28601 28602 28612 28619 28637 28655 28657 28666 28680 28690 28761,NCDHHS Local DSS Directory,burke-county-department-of-social-services-energy,burke-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,42,Cabarrus County Department of Social Services,Kannapolis,"1303 S. Cannon Blvd., Kannapolis, NC 28083",+17049201400,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"244,925",Cabarrus,28025 28026 28027 28036 28071 28075 28081 28082 28083 28097 28107 28124 28138,NCDHHS Local DSS Directory,cabarrus-county-department-of-social-services-energy,cabarrus-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,43,Caldwell County Department of Social Services,Lenoir,"2345 Morganton Blvd., SW, Suite A, Lenoir, NC 28645",+18284268200,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"80,739",Caldwell,28606 28611 28630 28638 28645 28667,NCDHHS Local DSS Directory,caldwell-county-department-of-social-services-energy,caldwell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,44,Camden County Department of Social Services,Camden,"117 NC HWY 343 N, Camden, NC 27921",+12523314787,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,4,"11,184",Camden,27921 27973 27974 27976,NCDHHS Local DSS Directory,camden-county-department-of-social-services-energy,camden-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,45,Carteret County Department of Social Services,Beaufort,"210 Craven St., Beaufort, NC 28516",+12527283181,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,17,"70,259",Carteret,28511 28512 28516 28520 28524 28528 28531 28553 28557 28570 28575 28577 28579 28581 28582 28584 28594,NCDHHS Local DSS Directory,carteret-county-department-of-social-services-energy,carteret-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,46,Caswell County Department of Social Services,Yanceyville,"175 County Park Road., Yanceyville, NC 27379",+13366944141,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,10,"22,363",Caswell,27212 27244 27291 27305 27311 27314 27315 27326 27343 27379,NCDHHS Local DSS Directory,caswell-county-department-of-social-services-energy,caswell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,47,Catawba County Department of Social Services,Hickory,"3030 11th Ave. Drive, S.E., Hickory, NC 28602",+18286955600,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"167,054",Catawba,28037 28168 28601 28602 28603 28609 28610 28613 28650 28658 28673 28682,NCDHHS Local DSS Directory,catawba-county-department-of-social-services-energy,catawba-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,48,Chatham County Department of Social Services,Pittsboro,"102 Camp Drive, Pittsboro, NC 27312",+19195422759,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"83,874",Chatham,27207 27208 27252 27312 27344 27349 27355 27516 27517 27519 27523 27559 27562,NCDHHS Local DSS Directory,chatham-county-department-of-social-services-energy,chatham-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
