rank,score,org_name,program,phone,city,counties,population_reach,largest_counties,zips,reach,status,funding_lasts_until,reopens_on,how_to_apply,hours,daily_cap,documents_required,most_common_turnaway,anything_changing,spoke_with,verify_outcome,note,called_at,va,source_url,needs_source_verification
14,56.79,Brazos Valley Community Action Programs,Comprehensive Energy Assistance Program (CEAP),+19795952800,Bryan,12,1458960,"Montgomery, Brazos, Liberty",109,89.3,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
15,56.74,"Hill Country Community Action Association, Inc.",Comprehensive Energy Assistance Program (CEAP),+13253725167,San Saba,13,1419307,"Williamson, Bell, Coryell",122,89.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
16,56.66,City of Austin Health and Human Services Department,Comprehensive Energy Assistance Program (CEAP),+15129725000,Austin,1,1363767,Travis,63,88.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
17,56.66,Travis County Health & Human Services/Veterans Services,Comprehensive Energy Assistance Program (CEAP),+15128547250,Austin,1,1363767,Travis,63,88.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
18,56.02,"Community Council of South Central Texas, Inc.",Comprehensive Energy Assistance Program (CEAP),+18303034376,Seguin,30,970756,"Comal, Guadalupe, Maverick",157,86.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
19,55.91,Hidalgo County Community Services Agency,Comprehensive Energy Assistance Program (CEAP),+19563836240,Edinburg,1,914820,Hidalgo,30,86.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
20,55.85,Economic Opportunities Advancement Corporation,Comprehensive Energy Assistance Program (CEAP),+12547530331,Waco,9,888575,"McLennan, Ellis, Johnson",118,86.2,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
21,55.82,"El Paso Community Action, Project BRAVO",Comprehensive Energy Assistance Program (CEAP),+19155624100,El Paso,1,875784,El Paso,31,86.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
22,55.79,Rolling Plains Management Corporation,Comprehensive Energy Assistance Program (CEAP),+19406841571,Crowell,28,861815,"Parker, Taylor, Wichita",162,86.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
23,55.61,"Williamson-Burnet County Opportunities, Inc.",Comprehensive Energy Assistance Program (CEAP),+15127631400,Georgetown,2,783202,"Williamson, Burnet",38,85.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
24,55.56,Crossroads Community Action,Comprehensive Energy Assistance Program (CEAP),+18006950314,Victoria,15,763035,"Brazoria, Victoria, Wharton",127,85.2,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
25,55.19,Texas Neighborhood Services,Comprehensive Energy Assistance Program (CEAP),+18175985700,Weatherford,7,625480,"Johnson, Parker, Wise",69,84.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
26,54.85,"West Texas Opportunities, Inc.",Comprehensive Energy Assistance Program (CEAP),+18068728354,Lamesa,18,521481,"Midland, Ector, Howard",71,82.8,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
27,54.55,"South Plains Community Action Association, Inc.",Comprehensive Energy Assistance Program (CEAP),+18068946104,Levelland,15,445960,"Lubbock, Hale, Hockley",84,81.8,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
28,54.52,Panhandle Community Services,Comprehensive Energy Assistance Program (CEAP),+18063722531,Amarillo,26,438048,"Randall, Potter, Moore",99,81.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
29,54.34,Southeast Texas Regional Planning Commission,Comprehensive Energy Assistance Program (CEAP),+14098998444,Beaumont,3,398733,"Jefferson, Orange, Hardin",34,81.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
30,54.14,Community Action Inc. of Central Texas,Comprehensive Energy Assistance Program (CEAP),+15123921161,San Marcos,3,357817,"Hays, Caldwell, Blanco",29,80.5,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
31,54.11,Nueces County Community Action Agency,Comprehensive Energy Assistance Program (CEAP),+13618837201,Corpus Christi,1,353125,Nueces,27,80.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
32,53.97,"Lubbock, City of, Community Development Department",Comprehensive Energy Assistance Program (CEAP),+18067752296,Lubbock,1,327394,Lubbock,26,79.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
33,53.92,"Community Services of Northeast Texas, Inc.",Comprehensive Energy Assistance Program (CEAP),+19037565596,Linden,12,318807,"Bowie, Lamar, Hopkins",77,79.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
34,53.62,Webb County Community Action Agency,Comprehensive Energy Assistance Program (CEAP),+19565234222,Laredo,1,272823,Webb,10,78.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
35,53.43,"Tri-County Community Action, Inc.",Comprehensive Energy Assistance Program (CEAP),+19365986315,Center,9,245834,"Harrison, Upshur, Jasper",67,78.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
36,52.76,Concho Valley Community Action Agency,Comprehensive Energy Assistance Program (CEAP),+13256532411,San Angelo,14,172748,"Tom Green, Runnels, Coleman",69,75.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
37,51.93,Cornerstone Community Action Agency,Comprehensive Energy Assistance Program (CEAP),+13256254167,Coleman,7,111084,"Brown, Eastland, Callahan",57,73.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
38,51.42,South Texas Development Council,Comprehensive Energy Assistance Program (CEAP),+19567223995,Laredo,3,84989,"Starr, Zapata, Jim Hogg",16,71.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
39,51.27,Economic Action Committee of the Gulf Coast,Comprehensive Energy Assistance Program (CEAP),+19792456901,Bay City,2,78426,"Wharton, Matagorda",26,70.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
40,50.73,Community Action Social Services & Education,Comprehensive Energy Assistance Program (CEAP),+18307737274,Eagle Pass,1,58829,Maverick,3,69.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
41,49.64,"Aspermont Small Business Development Center, Inc.",Comprehensive Energy Assistance Program (CEAP),+19409893538,Aspermont,6,33010,"Jones, Haskell, Knox",34,65.5,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
42,49.51,Kleberg County Human Services,Comprehensive Energy Assistance Program (CEAP),+13615958572,Kingsville,2,30772,"Kleberg, Kenedy",7,65.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
43,48.69,Pecos County Community Action Agency,Comprehensive Energy Assistance Program (CEAP),+14323367526,Fort Stockton,3,20024,"Pecos, Crane, Terrell",10,62.3,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
