Organization,City,Address,Phone,Counties served,Help offered,State,Why not listed
Jacksonville Emergency Assistance Program — Rent/Mortgage Assistance,Jacksonville,"1809 Art Museum Dr, Suite 100, Jacksonville, FL 32207",904-255-2469,Duval County,"mortgage_assistance, rent_assistance",FL,no match in the state directory — needs its own cited source
Florida Department of Health in Duval County — WIC,Jacksonville,"3225 University Blvd S, Jacksonville, FL 32216 (one WIC site)",904-253-1500 option 1,Duval County,food_pantry,FL,no match in the state directory — needs its own cited source
Escambia County SHIP / Housing Assistance,Escambia County,Escambia County Housing Finance Authority — verify current intake location,850-458-0466,Escambia County,rent_assistance,,placeholder text in address/city — not a real record
Florida Department of Health in Escambia County — WIC,Pensacola,"1295 W. Fairfield Dr, Pensacola, FL 32501",850-595-6670,Escambia County,food_pantry,FL,no match in the state directory — needs its own cited source
Flagler County Human Services — Emergency Assistance,Bunnell,"2199 Commerce Pkwy, Bunnell, FL 32110",386-313-4000,Flagler County,rent_assistance,FL,no match in the state directory — needs its own cited source
Grace Community Food Pantry,Palm Coast,"245 Education Way, Palm Coast, FL 32164",N/A,Flagler County,food_pantry,FL,no match in the state directory — needs its own cited source
Franklin County SHIP — Housing Assistance,Eastpoint,"248 US Hwy 98, Eastpoint, FL 32328",850-653-5851,Franklin County,rent_assistance,FL,no match in the state directory — needs its own cited source
Franklin County Food Pantry — Franklin's Promise Coalition,Apalachicola,"192 14th St, Apalachicola, FL 32320",850-653-3930,Franklin County,food_pantry,FL,no match in the state directory — needs its own cited source
Gadsden County SHIP / Community Development Housing Assistance,Community Development,Verify current Community Development intake location,850-875-8659,Gadsden County,rent_assistance,,placeholder text in address/city — not a real record
Florida Department of Health in Gadsden County — WIC,Quincy,"278 Lasalle Leffall Dr, Quincy, FL 32351",850-875-7200 ext. 2,Gadsden County,food_pantry,FL,no match in the state directory — needs its own cited source
"Food Pantry of Gilchrist County, Inc.",Trenton,"112 NE 1st Ave, Trenton, FL 32693",352-463-2710,Gilchrist County,food_pantry,FL,no match in the state directory — needs its own cited source
Glades County Social Services / Emergency Rental Assistance,Glades County,Glades County Social Services — confirm current intake address,863-956-0411,Glades County,rent_assistance,,placeholder text in address/city — not a real record
Harry Chapin Food Bank / Local Partner Pantry Network,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901 (food-bank office; local distributions vary)",239-334-7007,Glades County,food_pantry,FL,no match in the state directory — needs its own cited source
Gulf County SHIP / Affordable Housing Assistance,Gulf County,Gulf County SHIP — verify current office address before visit,850-312-3932,Gulf County,rent_assistance,,placeholder text in address/city — not a real record
Florida Department of Health — WIC,Port St. Joe,"2475 Garrison Ave, Port St. Joe, FL 32456",850-872-4666,Gulf County,food_pantry,FL,no match in the state directory — needs its own cited source
Hamilton County SHIP,Jasper,"1153 US Hwy 41 NW, Suite 2, Jasper, FL 32052",386-792-0507,Hamilton County,rent_assistance,FL,no match in the state directory — needs its own cited source
Hamilton County Community Resources & Second Harvest of the Big Bend,Jasper,"1153 US Hwy 41 NW, Jasper, FL 32052",386-792-6647,Hamilton County,food_pantry,FL,no match in the state directory — needs its own cited source
Hardee Help Center — Emergency Assistance,Wauchula,"1330 US Hwy 17 South, Wauchula, FL 33873",863-773-0034,Hardee County,rent_assistance,FL,no match in the state directory — needs its own cited source
Hardee Help Center — Crisis Food Assistance,Wauchula,"1330 US Hwy 17 South, Wauchula, FL 33873",863-773-0034,Hardee County,food_pantry,FL,no match in the state directory — needs its own cited source
Hendry County SHIP / Housing Assistance,Hendry County,Hendry County SHIP — verify current intake location,863-675-5297,Hendry County,rent_assistance,,placeholder text in address/city — not a real record
Harry Chapin Food Bank / Local Partner Pantries,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901 (food-bank office; local distributions vary)",239-334-7007,Hendry County,food_pantry,FL,no match in the state directory — needs its own cited source
Hernando County Housing & Supportive Services — SHIP / Temporary Rental Assistance,Brooksville,"621 W. Jefferson St, Brooksville, FL 34601",352-540-4338,Hernando County,rent_assistance,FL,no match in the state directory — needs its own cited source
People Helping People in Hernando County — Food Pantry,Spring Hill,"1396 Kass Cir, Spring Hill, FL 34606",352-686-4466,Hernando County,food_pantry,FL,no match in the state directory — needs its own cited source
Highlands County Housing / SHIP,Sebring,"618 S. Commerce Ave, Sebring, FL 33870",863-402-6648,Highlands County,rent_assistance,FL,no match in the state directory — needs its own cited source
Heartland Food Bank / Local Partner Pantry Network,Sebring,"P.O. Box 249, Sebring, FL 33871",863-385-7885,Highlands County,food_pantry,FL,no match in the state directory — needs its own cited source
Feeding Tampa Bay — Food Assistance Network,Tampa,"3624 Causeway Blvd, Tampa, FL 33619",813-254-1190,Hillsborough County,food_pantry,FL,no match in the state directory — needs its own cited source
Bonifay First United Methodist Church — Food Pantry,Bonifay,"202 N Oklahoma St, Bonifay, FL 32425",850-547-3785,Holmes County,food_pantry,FL,no match in the state directory — needs its own cited source
Jackson County Housing Assistance Office — SHIP,Marianna,"4979 Healthy Way, Suite B, Marianna, FL 32446",850-482-9083,Jackson County,rent_assistance,FL,no match in the state directory — needs its own cited source
Second Harvest of the Big Bend — TEFAP / Local Food Pantry Network,Tallahassee,"4446 Entrepot Blvd, Tallahassee, FL 32310",850-562-3033,Jackson County,food_pantry,FL,no match in the state directory — needs its own cited source
Florida Department of Health in Lafayette County — WIC,Mayo,"140 SW Virginia Circle, Mayo, FL 32066",800-342-3556,Lafayette County,food_pantry,FL,no match in the state directory — needs its own cited source
Second Harvest Food Bank of Central Florida — TEFAP / Food Pantry Network,Orlando,"411 Mercy Dr, Orlando, FL 32808",407-295-1066,Lake County,food_pantry,FL,no match in the state directory — needs its own cited source
Harry Chapin Food Bank of Southwest Florida — TEFAP / Local Partner Pantries,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901",239-334-7007,Lee County,food_pantry,FL,no match in the state directory — needs its own cited source
Marion County Community Services — Rental / Rapid Rehousing Assistance,Ocala,"2631 SE 3rd St, Ocala, FL 34471",352-671-8770,Marion County,"eviction_prevention, rent_assistance",FL,no match in the state directory — needs its own cited source
Leon County SHIP Housing Rental Assistance,Tallahassee,"615 E. Paul Russell Rd, Tallahassee, FL 32301",850-606-1900,Leon County,rent_assistance,FL,no match in the state directory — needs its own cited source
Second Harvest of the Big Bend — Food Pantry Network,Tallahassee,"4446 Entrepot Blvd, Tallahassee, FL 32310",850-562-3033,Leon County,food_pantry,FL,no match in the state directory — needs its own cited source
Levy County SHIP Housing Assistance,Bronson,"310 School St, Suite 112, Bronson, FL 32621",352-486-5218,Levy County,rent_assistance,FL,no match in the state directory — needs its own cited source
Liberty County Grants / Housing Assistance,Bristol,"10818 NW SR 20, Bristol, FL 32321 (verify before visit)",850-643-2692,Liberty County,rent_assistance,FL,placeholder text in address/city — not a real record
Innovative Charities — Liberty County Food Pantry,Bristol,"12390 NW Central Ave, Bristol, FL 32321",850-547-3786,Liberty County,food_pantry,FL,no match in the state directory — needs its own cited source
Turning Points — HOME TBRA / Rental Assistance,Bradenton,"701 17th Ave W, Bradenton, FL 34205",941-747-1509,Manatee County,rent_assistance,FL,no match in the state directory — needs its own cited source
Interfaith Emergency Services — Emergency Food Pantry,Ocala,"435 NW 2nd St, Ocala, FL 34475",352-629-8868,Marion County,food_pantry,FL,no match in the state directory — needs its own cited source
Martin County Human Services — Emergency Financial Assistance / Rental Assistance,Stuart,"435 SE Flagler Ave, Stuart, FL 34994",772-288-5785,Martin County,rent_assistance,FL,no match in the state directory — needs its own cited source
Martin County — Care to Share / Lend a Hand,Stuart,"435 SE Flagler Ave, Stuart, FL 34994",772-288-5785,Martin County,electric_bill,FL,no match in the state directory — needs its own cited source
St. Joseph's Catholic Church / Martin County Food Assistance Network,Stuart,"1200 SE 10th St, Stuart, FL 34996",772-287-2727,Martin County,food_pantry,FL,no match in the state directory — needs its own cited source
Salvation Army Hope House — Emergency Rent / Rapid Re-Housing Assistance,Fernandina Beach,"410 S 9th St, Fernandina Beach, FL 32034",904-321-0435,Nassau County,rent_assistance,FL,no match in the state directory — needs its own cited source
Okeechobee County / Salvation Army Emergency Assistance,Okeechobee,"205 NE 2nd St, Okeechobee, FL 34972 (verify before visit)",863-763-6020,Okeechobee County,rent_assistance,FL,placeholder text in address/city — not a real record
Big Lake Mission Outreach — Food Assistance,Okeechobee,"901 NW 7th Ave, Okeechobee, FL 34972 (verify)",863-763-4654,Okeechobee County,food_pantry,FL,placeholder text in address/city — not a real record
Orange County Crisis Assistance Program (CAP),Orlando,"2100 E. Michigan St, Orlando, FL 32806",407-836-6500,Orange County,rent_assistance,FL,no match in the state directory — needs its own cited source
Orange County Citizens Commission for Children / Community Food Resources,Orlando,"2101 E. Michigan St, Orlando, FL 32806",407-836-6500,Orange County,food_pantry,FL,no match in the state directory — needs its own cited source
Osceola County Housing & Community Services — Homeless Services Program,Kissimmee,"1392 E. Vine St, Kissimmee, FL 34744 (verify intake location)",407-742-8400,Osceola County,"eviction_prevention, rent_assistance",FL,placeholder text in address/city — not a real record
"Catholic Charities, Diocese of St. Petersburg — Financial Assistance",New Port Richey,"5609 US Hwy 19, Suite I, New Port Richey, FL 34652",813-631-4370,Pasco County,rent_assistance,FL,no match in the state directory — needs its own cited source
Pinellas County Adult Emergency Financial Assistance Program / Catholic Charities,St. Petersburg,"647 1st Ave N, St. Petersburg, FL 33701",727-464-4200,Pinellas County,rent_assistance,FL,no match in the state directory — needs its own cited source
Polk County Housing & Neighborhood Development — Tenant-Based Rental Assistance (TBRA),Bartow,"1290 Golfview Ave, Suite 167, Bartow, FL 33830",863-534-5240,Polk County,rent_assistance,FL,no match in the state directory — needs its own cited source
United Way of Central Florida — George W. Jenkins End Hunger Initiative,Polk County,Multiple Polk County distribution sites,863-648-1500,Polk County,food_pantry,,no match in the state directory — needs its own cited source
Catholic Charities St. Augustine — Emergency Financial Assistance,Palatka,"1000 Husson Ave, Palatka, FL 32177",386-328-2333,Putnam County,rent_assistance,FL,no match in the state directory — needs its own cited source
Catholic Charities St. Augustine — Rural Outreach / Food Assistance,Palatka,"1000 Husson Ave, Palatka, FL 32177",386-328-2333,Putnam County,food_pantry,FL,no match in the state directory — needs its own cited source
St. Johns County Social Services — Emergency Assistance,St. Augustine,"200 San Sebastian View, Suite 2300, St. Augustine, FL 32084",904-209-6140,St. Johns County,rent_assistance,FL,no match in the state directory — needs its own cited source
Catholic Charities St. Augustine — Emergency/Rural Food Assistance,St. Augustine,"525 SR 16, Unit 111-112, St. Augustine, FL 32084",904-829-6300,St. Johns County,food_pantry,FL,no match in the state directory — needs its own cited source
St. Lucie County Rental Assistance Program,Fort Pierce,"714 Avenue C, 2nd Floor, Fort Pierce, FL 34950",772-462-1777,Saint Lucie County,rent_assistance,FL,no match in the state directory — needs its own cited source
In the Image of Christ — Utility Assistance,Fort Pierce,"707 N 7th St, Fort Pierce, FL 34950",772-461-7788,Saint Lucie County,"electric_bill, gas_bill",FL,no match in the state directory — needs its own cited source
St. Lucie County Food Assistance Sites / Local Pantry Network,Fort Pierce,"714 Avenue C, Fort Pierce, FL 34950",772-462-1777,Saint Lucie County,food_pantry,FL,no match in the state directory — needs its own cited source
Emergency Rental Assistance — Catholic Charities / Interfaith Ministries / Opening Doors,Varies by provider,Varies by provider,850-436-6425 opt. 1,Santa Rosa County,rent_assistance,,placeholder text in address/city — not a real record
Santa Rosa County Feeding Programs / Feeding the Gulf Coast Network,Varies by pantry/site,Varies by pantry/site,850-432-1475,Santa Rosa County,food_pantry,,placeholder text in address/city — not a real record
Sarasota County Human Services / Community Housing & Homeless Resources,Sarasota,"1 Apex Rd, Sarasota, FL 34240",941-861-5000,Sarasota County,"eviction_prevention, rent_assistance",FL,no match in the state directory — needs its own cited source
All Faiths Food Bank — Food Assistance Network,Sarasota,"8171 Blaikie Ct, Sarasota, FL 34240",941-379-6333,Sarasota County,food_pantry,FL,no match in the state directory — needs its own cited source
Seminole County Community Assistance — Prevention Assistance,Sanford,"520 W Lake Mary Blvd, Suite 100, Sanford, FL 32773",407-665-2300,Seminole County,"eviction_prevention, rent_assistance",FL,no match in the state directory — needs its own cited source
Seminole County Community Assistance — Prevention Assistance / Good Neighbor Utility Fund,Sanford,"1101 E First St, Sanford, FL 32771",407-665-2300,Seminole County,"electric_bill, eviction_prevention, gas_bill",FL,no match in the state directory — needs its own cited source
Harvest Time International / Seminole County Food Pantry Network,Sanford,"225 Harvest Time Dr, Sanford, FL 32771",407-328-9900,Seminole County,food_pantry,FL,no match in the state directory — needs its own cited source
One-Time Rental Assistance — Salvation Army / United Way of Lake & Sumter,Varies by provider,Varies by provider,352-568-2284,Sumter County,food_pantry,,placeholder text in address/city — not a real record
United Way of Lake & Sumter / Local Food Pantry Network,Varies by pantry/site,Varies by pantry/site,352-787-7530,Sumter County,food_pantry,,placeholder text in address/city — not a real record
St. Lucie County Rental Assistance Program,Fort Pierce,"714 Avenue C, 2nd Floor, Fort Pierce, FL 34950",772-462-1777,Saint Lucie County,rent_assistance,FL,no match in the state directory — needs its own cited source
In the Image of Christ — Utility Assistance,Fort Pierce,"707 N 7th St, Fort Pierce, FL 34950",772-461-7788,Saint Lucie County,"electric_bill, gas_bill",FL,no match in the state directory — needs its own cited source
St. Lucie County Food Assistance Sites / Local Pantry Network,Fort Pierce,"714 Avenue C, Fort Pierce, FL 34950",772-462-1777,Saint Lucie County,food_pantry,FL,no match in the state directory — needs its own cited source
Emergency Rental Assistance — Catholic Charities / Interfaith Ministries / Opening Doors,Varies by provider,Varies by provider,850-436-6425 opt. 1,Santa Rosa County,rent_assistance,,placeholder text in address/city — not a real record
Seminole County Community Assistance — Prevention Assistance,Sanford,"520 W Lake Mary Blvd, Suite 100, Sanford, FL 32773",407-665-2300,Seminole County,"eviction_prevention, rent_assistance",FL,no match in the state directory — needs its own cited source
Seminole County Community Assistance — Prevention Assistance / Good Neighbor Utility Fund,Sanford,"1101 E First St, Sanford, FL 32771",407-665-2300,Seminole County,"electric_bill, eviction_prevention, gas_bill",FL,no match in the state directory — needs its own cited source
Harvest Time International / Seminole County Food Pantry Network,Sanford,"225 Harvest Time Dr, Sanford, FL 32771",407-328-9900,Seminole County,food_pantry,FL,no match in the state directory — needs its own cited source
One-Time Rental Assistance — Salvation Army / United Way of Lake & Sumter,Varies by provider,Varies by provider,352-568-2284,Sumter County,rent_assistance,,placeholder text in address/city — not a real record
Local Food Pantry Network / Second Harvest & Partner Agencies,Varies by distribution site,Varies by distribution site,386-362-8860,Suwannee County,food_pantry,,placeholder text in address/city — not a real record
Second Harvest / Local Food Pantry Network,Varies by distribution site,Varies by distribution site,850-584-7349,Taylor County,food_pantry,,placeholder text in address/city — not a real record
The Children's Table / Christ Central / Farm Share Food Distributions,Lake Butler,"375 SE 7th Ave, Lake Butler, FL 32054 (The Children's Table site)",386-496-1916,Union County,food_pantry,FL,no match in the state directory — needs its own cited source
Crawfordville United Methodist Church — Food Pantry / Second Harvest Partner,Crawfordville,"176 Ochlockonee St, Crawfordville, FL 32327",850-508-9097,Wakulla County,food_pantry,FL,no match in the state directory — needs its own cited source
Caring & Sharing of South Walton — Rent Assistance,Santa Rosa Beach,"112 Lynn Dr, Santa Rosa Beach, FL 32459",850-267-2866,Walton County,rent_assistance,FL,no match in the state directory — needs its own cited source
Caring & Sharing of South Walton — Emergency Food Pantry,Santa Rosa Beach,"112 Lynn Dr, Santa Rosa Beach, FL 32459",850-267-2866,Walton County,food_pantry,FL,no match in the state directory — needs its own cited source
Buncombe County Tenant-Based Rental Assistance,Asheville,"46 Valley St, Asheville, NC 28801",828-250-4834,Buncombe,rent_assistance,NC,no match in the state directory — needs its own cited source
Asheville Buncombe Community Christian Ministry (ABCCM) Crisis Assistance,Asheville,"24 Cumberland Ave, Asheville, NC 28801",828-259-5300,Buncombe,rent_assistance,NC,no match in the state directory — needs its own cited source
Buncombe County DHHS / Community Energy Assistance,Asheville,"40 Coxe Ave, Asheville, NC 28801",828-250-5500,Buncombe,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
Buncombe County Food Assistance / FNS,Asheville,"40 Coxe Ave, Asheville, NC 28801",828-250-5500,Buncombe,food_pantry,NC,no match in the state directory — needs its own cited source
Burke United Christian Ministries,Morganton,"305-B W Union St, Morganton, NC 28655",828-433-8075,Burke,rent_assistance,NC,no match in the state directory — needs its own cited source
Cooperative Christian Ministry — Crisis Assistance,Concord,"246 Country Club Dr NE, Concord, NC 28025",704-786-4709,Cabarrus,rent_assistance,NC,no match in the state directory — needs its own cited source
City of Concord Housing Department,Concord,"35 Cabarrus Ave W, Concord, NC 28025",704-920-6100,Cabarrus,rent_assistance,NC,no match in the state directory — needs its own cited source
Cooperative Christian Ministry — Crisis Assistance,Concord,"246 Country Club Dr NE, Concord, NC 28025",704-786-4709,Cabarrus,electric_bill,NC,no match in the state directory — needs its own cited source
Cabarrus County CHSA — Food & Nutrition Services,Kannapolis,"1303 S Cannon Blvd, Kannapolis, NC 28083",704-920-1400,Cabarrus,food_pantry,NC,no match in the state directory — needs its own cited source
Caldwell County Food & Nutrition Services,Lenoir,"2345 Morganton Blvd SW, Suite A, Lenoir, NC 28645",828-426-8296,Caldwell,food_pantry,NC,no match in the state directory — needs its own cited source
Carteret County Work First Emergency Assistance,Beaufort,"210 Craven St, Beaufort, NC 28516",252-728-3181,Carteret,rent_assistance,NC,no match in the state directory — needs its own cited source
Carteret County Work First Emergency Assistance / CIP,Beaufort,"210 Craven St, Beaufort, NC 28516",252-728-3181,Carteret,electric_bill,NC,no match in the state directory — needs its own cited source
Eastern Catawba Cooperative Christian Ministry,Newton,"245 E N St, Newton, NC 28658",828-327-0979,Catawba,rent_assistance,NC,no match in the state directory — needs its own cited source
Catawba County Food & Nutrition Services,Hickory,"3030 11th Ave Dr SE, Hickory, NC 28602",828-695-5600,Catawba,food_pantry,NC,no match in the state directory — needs its own cited source
Chatham County Work First Emergency Assistance,Pittsboro,"12 East St, Pittsboro, NC 27312",919-542-2759,Chatham,rent_assistance,NC,no match in the state directory — needs its own cited source
Chatham County Work First Emergency Assistance / CIP,Pittsboro,"12 East St, Pittsboro, NC 27312",919-542-2759,Chatham,electric_bill,NC,no match in the state directory — needs its own cited source
HERE in Jackson County — Housing Stabilization Services,Verify current location,Provider location to be confirmed during intake,Verify with provider,Cherokee,"eviction_prevention, rent_assistance",,placeholder text in address/city — not a real record
Cumberland County Coordinated Entry / Homeless Services,Verify current location,Intake location determined through program,910-483-5944,Cumberland,"eviction_prevention, rent_assistance",,placeholder text in address/city — not a real record
Greensboro Housing Authority — HOME-ARP Tenant-Based Rental Assistance,Greensboro,"450 N Church St, Greensboro, NC 27401",336-275-8501,Guilford,rent_assistance,NC,no match in the state directory — needs its own cited source
Roanoke-Chowan Regional Housing Authority — Housing Choice Voucher/Public Housing,Gaston,"205 Tinsley Way, Gaston, NC 27832",252-537-1051,Halifax,rent_assistance,NC,no match in the state directory — needs its own cited source
Harnett County HUD Office — Housing Choice Voucher/Rental Subsidy,Sanford,"1000 Carthage St, Sanford, NC 27330",919-776-7655,Harnett,rent_assistance,NC,no match in the state directory — needs its own cited source
Mountain Projects — Section 8 Housing Choice Voucher,Waynesville,"2177 Asheville Rd, Waynesville, NC 28786",828-452-1447,Haywood,rent_assistance,NC,no match in the state directory — needs its own cited source
Roanoke-Chowan Regional Housing Authority — HCV/Public Housing,Gaston / Hertford,"RCRHA: 205 Tinsley Way, Gaston, NC 27832; Hertford Housing Authority: 104 White St, Hertford, NC 27944",252-537-1051,Hertford,rent_assistance,NC,no match in the state directory — needs its own cited source
Hoke County Housing Authority,Raeford,"Hoke County Housing Authority; county administrative contact: 227 N Main St, Raeford, NC 28376",910-875-8751,Hoke,rent_assistance,NC,no match in the state directory — needs its own cited source
Hoke County EFSP Utility Assistance,Raeford,"314 S Magnolia St, Raeford, NC 28376",910-875-8725,Hoke,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
Mountain Projects — Section 8 Housing Choice Voucher,Sylva / Waynesville,"154 Medical Park Loop, Sylva, NC 28779 / 2177 Asheville Rd, Waynesville, NC 28786",828-586-2345,Jackson,rent_assistance,NC,no match in the state directory — needs its own cited source
Global Empowerment Mission — Helene Rental Assistance,Mitchell County,Mitchell County service area; confirm intake location,—,Mitchell,rent_assistance,,placeholder text in address/city — not a real record
Troy/Montgomery Senior Center — Housing Assistance / Referral,Troy,"228 N Main St, Troy, NC 27371",910-572-4464,Montgomery,rent_assistance,NC,no match in the state directory — needs its own cited source
New Hanover County HHS — Crisis Intervention / Housing Assistance,Wilmington,"1650 Greenfield St, Wilmington, NC 28401",910-798-3500,New Hanover,rent_assistance,NC,no match in the state directory — needs its own cited source
New Hanover County HHS — Crisis Intervention / Energy Assistance,Wilmington,"1650 Greenfield St, Wilmington, NC 28401",910-798-3500,New Hanover,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
New Hanover County HHS — Food & Nutrition Services,Wilmington,"1650 Greenfield St, Wilmington, NC 28401",910-798-3500,New Hanover,food_pantry,NC,no match in the state directory — needs its own cited source
Orange County Emergency Housing Assistance (EHA),Chapel Hill / Hillsborough,"Southern Human Services Center: 2501 Homestead Rd, Chapel Hill, NC 27516; Hillsborough Commons: 113 Mayo St, Hillsborough, NC 27278",919-245-2655,Orange,rent_assistance,NC,no match in the state directory — needs its own cited source
Pamlico County Human Services Center / DSS — Housing Crisis Referral,Bayboro,"828 Alliance Main St, Bayboro, NC 28515",252-745-4086,Pamlico,rent_assistance,NC,no match in the state directory — needs its own cited source
Pamlico County Human Services Center — Energy Assistance,Bayboro,"828 Alliance Main St, Bayboro, NC 28515",252-745-4086,Pamlico,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
Pamlico County Human Services Center — Food & Nutrition Services,Bayboro,"828 Alliance Main St, Bayboro, NC 28515",252-745-4086,Pamlico,food_pantry,NC,no match in the state directory — needs its own cited source
Albemarle Commission — Community Housing / Housing Repair Resources,Hertford,"512 S Church St, Hertford, NC 27944",252-426-5753,Perquimans,rent_assistance,NC,no match in the state directory — needs its own cited source
Person County Habitat for Humanity / Housing Assistance,Person County,Person County service area; confirm current office location,336-597-2206,Person,rent_assistance,,placeholder text in address/city — not a real record
Church & Community Services of Scotland County,Laurinburg,"108 Gil St, Laurinburg, NC 28352; service location also listed at 205-B Lauchwood Dr",910-276-8330,Scotland,rent_assistance,NC,no match in the state directory — needs its own cited source
Church & Community Services of Scotland County,Laurinburg,"108 Gil St, Laurinburg, NC 28352",910-276-8330,Scotland,electric_bill,NC,no match in the state directory — needs its own cited source
Church & Community Services Food Pantry / Scotland County FNS,Laurinburg,"108 Gil St, Laurinburg, NC 28352",910-276-8330,Scotland,food_pantry,NC,no match in the state directory — needs its own cited source
Stanly Community Christian Ministry — Financial Assistance,Albemarle,"506 S 1st St, Albemarle, NC 28001",704-982-7915 ext. 104,Stanly,rent_assistance,NC,no match in the state directory — needs its own cited source
Stanly Community Christian Ministry — Financial Assistance,Albemarle,"506 S 1st St, Albemarle, NC 28001",704-982-7915 ext. 104,Stanly,electric_bill,NC,no match in the state directory — needs its own cited source
Crisis Control Ministry — Stokes County Emergency Assistance,Winston-Salem,Winston-Salem office; confirm current Stokes intake location,336-724-7453,Stokes,rent_assistance,,placeholder text in address/city — not a real record
Crisis Control Ministry — Stokes County Utility Assistance,Winston-Salem,Winston-Salem office; confirm intake location,336-724-7453,Stokes,"electric_bill, gas_bill",,placeholder text in address/city — not a real record
Crisis Control Ministry — Food Assistance,Winston-Salem,Winston-Salem office; confirm current food-pantry access,336-724-7453,Stokes,food_pantry,,placeholder text in address/city — not a real record
Sharing House — Crisis Assistance,Brevard,"892 Asheville Hwy, Brevard, NC 28712",828-884-2866,Transylvania,rent_assistance,NC,no match in the state directory — needs its own cited source
Sharing House — Crisis Assistance,Brevard,"892 Asheville Hwy, Brevard, NC 28712",828-884-2866,Transylvania,electric_bill,NC,no match in the state directory — needs its own cited source
Sharing House — Food & Fresh Produce,Brevard,"892 Asheville Hwy, Brevard, NC 28712",828-884-2866,Transylvania,food_pantry,NC,no match in the state directory — needs its own cited source
Union County Crisis Assessment / Emergency Assistance,Monroe,"2330 Concord Ave, Monroe, NC 28110",704-296-4300,Union,rent_assistance,NC,no match in the state directory — needs its own cited source
