CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,24,Cypress Assistance Ministries,Cypress,12930 Cypress North Houston Rd,+12819557684,Assistance services,holiday_assistance,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),cypress-assistance-ministries,,unknown,,,,,,,,,,,,voicemail,"Tried calling, was referred to an operator, but routed to voicemail twice. ",2026-09-02,Deej,,,
,25,Covenant House Texas,Houston,1111 Lovett Blvd.,+17135232231,Assistance services,"free_clinic, holiday_assistance, prescriptions, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),covenant-house-texas,,unknown,,,,,online,,,,,,,voicemail,Ringing only,2026-09-02,Deej,,,
,26,Windsor Village United Methodist Church,Houston,6011 W Orem Dr,+17137238187,Assistance services,"electric_bill, food_pantry, mortgage_assistance, rent_assistance, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),windsor-village-united-methodist-church,,unknown,,,,,,,,,,,,voicemail,Automated recording referred me online for information. Queing. Also advised to leave a message.,2026-09-02,Deej,,,
,27,Memorial Assistance Ministries,,,+17134684516,Assistance services,"electric_bill, legal_aid, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),memorial-assistance-ministries,,unknown,,,,,,,,,,,,disconnected,The number dialed is not in service,2026-09-02,Deej,,,
,28,Northwest Assistance Ministries,,,+12818854555,Assistance services,"deposit_assistance, food_pantry, gas_bill, hot_meals, mortgage_assistance, prescriptions, rent_assistance, transportation, water_bill",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),northwest-assistance-ministries,,unknown,,,,,,,,,,,,disconnected,The number is disconnected or unavailable,2026-09-02,Deej,,,
,29,St. Pius Catholic Church,Pasadena,824 Main St,+17134739484,Assistance services,"electric_bill, food_pantry, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),st-pius-catholic-church,,unknown,,,,,,,,,,,,no_answer,Ringing only,2026-09-02,Deej,,,
,30,Harris County Area Agency on Aging,Houston,8000 N Stadium Dr,+18323934301,Assistance services,"food_pantry, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),harris-county-area-agency-on-aging,,unknown,,,,,,10 AM to 2PM CST,,,,,,voicemail,"The office is currently closed. Their operating schedule is Monday, Wednesday, and Friday, from 10:00 AM to 2:00 PM.",2026-09-02,Karlo,,,
,31,My Brother's Keeper Outreach Center,Houston,12621 Bissonnet St,+12814989933,Assistance services,"electric_bill, food_pantry, holiday_assistance, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),my-brother-s-keeper-outreach-center,,unknown,,,,,online,,,,,,,voicemail,The office is currently closed.,2026-09-02,Karlo,,,
,32,St. John Vianney Social Ministry,Houston,625 Nottingham Oaks Trail,+12814971500,Assistance services,"electric_bill, food_pantry, holiday_assistance, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),st-john-vianney-social-ministry,,unknown,,,,,online,,,,,,,voicemail,Automated recording referred me online for information. Queing. Also advised to leave a message.,2026-09-02,Karlo,,,
,33,Humble Area Assistance Ministries,Humble,1302 First Street,+12814463663,Assistance services,"deposit_assistance, electric_bill, eviction_prevention, legal_aid, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),humble-area-assistance-ministries,,unknown,,,,,online,,,,,,,voicemail,The automated recording referred callers to the website for additional information. The call remained in the queue and also advised callers to leave a message.,2026-09-02,Karlo,,,
,34,LINC Houston Community Services,Houston,800 Houston Ave,+17134262451,Assistance services,"food_pantry, gas_vouchers, prescriptions, rent_assistance, transportation, vision",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),linc-houston-community-services,,funds_exhausted,,,,,,,,,,,,voicemail,The automated recording stated that they are currently unable to provide financial assistance and advised callers to contact 211 for further assistance.,2026-09-02,Karlo,,,
,35,Riceville Mt. Olive Baptist Church,Houston,11539 S Gessner Rd,+17137744880,Assistance services,"food_pantry, holiday_assistance, school_supplies",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),riceville-mt-olive-baptist-church,,unknown,,,,,,,,,,,,voicemail,"The automated response advised callers to attend their Sunday service and leave a message. No date was provided for when they will resume operations, and no operating hours were specified.",2026-09-02,Deej,,,
,36,West Houston Assistance Ministries,,,+17139779942,Assistance services,"electric_bill, food_pantry, holiday_assistance, mortgage_assistance, rent_assistance, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),west-houston-assistance-ministries,,unknown,,,,,,,,,,,,voicemail,The person called is currently on another call. Advised to leave a voicemail,2026-09-02,Deej,,,
,37,Interfaith Caring Ministries,,,+12813323881,Assistance services,"electric_bill, food_pantry, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),interfaith-caring-ministries,,unknown,,,,,,,,,,,,voicemail,The office is currently closed.,2026-09-02,Karlo,,,
,38,Katy Christian Ministries,Katy,23232 Kingsland Blvd,+12813915261,Assistance services,"electric_bill, holiday_assistance, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),katy-christian-ministries,,accepting,,,,,appointment,,,,,,,voicemail,"No agent was available. According to the automated recording:

The member must be an existing client of KCM to receive the benefit.
Appointment slots are subject to availability.
Members must visit the branch in person to obtain the application forms.",2026-09-02,Karlo,,,
,39,Cathedral Health and Outreach Ministries,Houston,1212 Prairie St,+17132209737,Assistance services,"dental, food_pantry, free_clinic, holiday_assistance, hot_meals, legal_aid, prescriptions",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),cathedral-health-and-outreach-ministries,,unknown,,,,,,,,,,,,voicemail,The call was routed to voicemail.,2026-09-02,Karlo,,,
,40,Tomball Emergency Assistance Ministries,Tomball,300 W Main St,+12813516700,Assistance services,"electric_bill, gas_bill, prescriptions, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),tomball-emergency-assistance-ministries,,unknown,,,,,,,,,,,,voicemail,The office is currently closed.,2026-09-02,Karlo,,,
,41,"AIDS Foundation Houston, Inc.",Houston,6260 Westpark Dr,+17136236796,Assistance services,"electric_bill, free_clinic, gas_vouchers, prescriptions, rent_assistance, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),aids-foundation-houston-inc,,unknown,,,,,,,,,,,,voicemail,"When dialing the number, the call automatically disconnected immediately, preventing the call from being completed.",2026-09-02,Karlo,,,
,42,Bering Omega Community Services,,,+17135296071,Assistance services,"free_clinic, prescriptions, rent_assistance, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),bering-omega-community-services,,unknown,,,,,,,,,,,,refused,The call was routed to voicemail immediately after dialing.,2026-09-02,Karlo,,,
,43,Brentwood Community Foundation,Houston,13033 1/2 Landmark Street,+17138522551,Assistance services,"electric_bill, food_pantry, mortgage_assistance, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),brentwood-community-foundation,,unknown,,,,,,,,,,,,voicemail,"Called the number and received an automated prompt stating that their operating hours are 8:00 AM to 5:00 PM. However, the call was made at 2:45 PM, which is within the stated operating hours.",2026-09-02,Karlo,,,
,44,Houston Area Urban League,,,+17133938700,Assistance services,mortgage_assistance,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),houston-area-urban-league,,unknown,,,,,,8AM - 5PM CST,,,,,,voicemail,"Called the number and received an automated prompt stating that their operating hours are 8:00 AM to 5:00 PM. However, the call was made at 2:45 PM, which is within the stated operating hours.",2026-09-02,Karlo,,,
,45,Harris County Community Services,Houston,9418 Jensen Dr,+17136967900,Assistance services,"burial_assistance, electric_bill, food_pantry, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),harris-county-community-services,,unknown,,,,,,8AM - 5PM CST,,,,,,voicemail,"Called the number and received an automated prompt stating that their operating hours are 8:00 AM to 5:00 PM. However, the call was made at 2:45 PM, which is within the stated operating hours.",2026-09-02,Karlo,,,
,46,Harris County Community Services — NW Satellite Office,Houston,15555 Kuykendahl,+17136967900,Assistance services,"electric_bill, legal_aid, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),harris-county-community-services-nw-satellite-office,,unknown,,,,,,8AM - 5PM CST,,,,,,voicemail,"Called the number and received an automated prompt stating that their operating hours are 8:00 AM to 5:00 PM. However, the call was made at 2:45 PM, which is within the stated operating hours.",2026-09-02,Karlo,,,
,47,Star of Hope,,,,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),star-of-hope,,unknown,,,,,,,,,,,,no_answer,Ringing only,2026-09-02,Karlo,,,
,48,"Wesley Community Center, Inc.",Houston,1410 Lee St,+17132238131,Assistance services,"electric_bill, legal_aid, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),wesley-community-center-inc,,unknown,,,,,,,,,,,,,This phone number is on the federal dnc list.,2026-09-02,Karlo,,,
,49,Collaborative for Children,,,+17136001100,Assistance services,childcare,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),collaborative-for-children,,unknown,,,,,,,,,,,,voicemail,This phone number is on the federal dnc list.,2026-09-02,Karlo,,,
,50,Avance Inc.,,,+17138120033,Assistance services,childcare,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),avance-inc,,unknown,,,,,,,,,,,,voicemail,"The call was answered by an AI operator, but the interaction did not progress and no further assistance was provided.",2026-09-04,Karlo,,,
,51,Harris County Department of Education,,,+17132733211,Assistance services,childcare,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),harris-county-department-of-education,,unknown,,,,,,,,,,,,voicemail,"The voicemail box was full, so no message could be left.",2026-09-04,Karlo,,,
,52,United Way of Greater Houston,,,+17136852300,Assistance services,"food_pantry, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),united-way-of-greater-houston,,unknown,,,,,,,,,,,,voicemail,"Tried calling and was referred to an operator, but the call was routed to voicemail twice, preventing further assistance.",2026-09-04,Karlo,,,
WEEK 1,53,"Community Services, Inc.",Corsicana,,+19038722401,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",10,154,"3,013,945",Anderson; Collin; Denton; Ellis; Henderson; Hunt; Kaufman; Navarro; Rockwall; Van Zandt,75002 75007 75009 75010 75011 75013 75022 75023 75024 75025 75026 75027 75028 75029 75032 75033 75034 75035 75036 75048 75056 75057 75065 75067 75068 75069 75070 75071 75072 75074 75075 75077 75078 75080 75082 75086 75087 75088 75089 75093 75094 75098 75102 75103 75105 75109 75110 75114 75117 75119 75124 75125 75126 75127 75135 75140 75142 75143 75144 75147 75148 75151 75152 75153 75154 75155 75156 75157 75158 75159 75160 75161 75163 75165 75166 75167 75168 75169 75173 75189 75252 75287 75370 75379 75401 75402 75403 75404 75407 75409 75422 75423 75424 75428 75442 75449 75452 75453 75454 75469 75474 75495 75496 75751 75752 75754 75756 75758 75763 75770 75778 75779 75790 75801 75802 75803 75832 75839 75844 75853 75859 75861 76041 76052 76064 76065 76078 76084 76177 76201 76202 76205 76206 76207 76208 76209 76210 76226 76227 76247 76249 76258 76259 76262 76266 76626 76639 76641 76648 76651 76670 76679 76681 76693,TDHCA Master List of Community Affairs Subrecipients,community-services-inc-ceap,,unknown,,,,,,,,,,,Jen,reached,They only provide employment and education support and do not offer hardship assistance.,2026-09-04,Karlo,,,
WEEK 1,54,Texoma Council of Governments,Sherman,,+19038932161,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",19,198,"2,952,503",Bowie; Camp; Cass; Collin; Cooke; Delta; Denton; Fannin; Franklin; Grayson; Hopkins; Hunt; Lamar; Marion; Morris; Rains; Red River; Rockwall; Titus,75002 75007 75009 75010 75011 75013 75020 75021 75022 75023 75024 75025 75026 75027 75028 75029 75032 75033 75034 75035 75036 75048 75056 75057 75058 75065 75067 75068 75069 75070 75071 75072 75074 75075 75076 75077 75078 75080 75082 75086 75087 75088 75089 75090 75091 75092 75093 75094 75098 75135 75160 75166 75169 75173 75189 75252 75287 75370 75379 75401 75402 75403 75404 75407 75409 75410 75411 75412 75414 75415 75416 75417 75418 75420 75421 75422 75423 75424 75426 75428 75431 75432 75433 75435 75436 75437 75438 75439 75440 75441 75442 75446 75447 75448 75449 75450 75451 75452 75453 75454 75455 75456 75457 75459 75460 75461 75462 75468 75469 75470 75471 75472 75473 75474 75476 75477 75478 75479 75480 75481 75482 75483 75486 75487 75488 75489 75490 75491 75492 75494 75495 75496 75497 75501 75503 75504 75505 75550 75551 75554 75555 75556 75558 75559 75560 75561 75562 75563 75564 75566 75567 75568 75569 75570 75571 75572 75574 75630 75638 75656 75657 75668 75683 75686 76052 76078 76177 76201 76202 76205 76206 76207 76208 76209 76210 76226 76227 76233 76238 76239 76240 76241 76245 76247 76249 76250 76252 76253 76258 76259 76262 76263 76264 76265 76266 76271 76272 76273,TDHCA Master List of Community Affairs Subrecipients,texoma-council-of-governments-ceap,,unknown,,,,,,,,,,,,refused,The number is for the City Government office and does not handle hardship assistance. It is intended for general city-related concerns and services.,2026-09-04,Karlo,,,
WEEK 1,55,Community Council of Greater Dallas,Dallas,,+12148715065,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,127,"2,823,843",Dallas,75001 75006 75007 75011 75014 75015 75016 75017 75019 75030 75038 75039 75040 75041 75042 75043 75044 75045 75046 75047 75048 75049 75050 75051 75052 75053 75054 75060 75061 75062 75063 75080 75081 75082 75083 75085 75088 75089 75104 75106 75115 75116 75123 75134 75137 75138 75141 75146 75149 75150 75154 75159 75172 75180 75181 75182 75185 75187 75201 75202 75203 75204 75205 75206 75207 75208 75209 75210 75211 75212 75214 75215 75216 75217 75218 75219 75220 75221 75222 75223 75224 75225 75226 75227 75228 75229 75230 75231 75232 75233 75234 75235 75236 75237 75238 75240 75241 75242 75243 75244 75246 75247 75248 75249 75250 75251 75253 75254 75313 75315 75336 75339 75342 75354 75355 75356 75357 75360 75367 75371 75372 75374 75376 75378 75380 75381 75382,TDHCA Master List of Community Affairs Subrecipients,community-council-of-greater-dallas-ceap,,seasonal_closed,,,,,,,,,,,,voicemail,"As per the automated recording, they are not currently accepting applications. I was instructed to leave my contact information via voicemail for further assistance.",2026-09-04,Karlo,,,
