state|county|org_name|address|phone|phones_all|url|source|source_url|retrieved
FL|Collier|Agricultural and Labor Program, Inc.||+18639563491|863-956-3491; 863-247-3001; 239-657-7272|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Columbia|Suwannee River Economic Council, Inc.||+13867528726|386-752-8726; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|DeSoto|Desoto County Board of Commissioners||+18639934858|863-993-4858; 863-993-4859|https://desotobocc.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Dixie|Suwannee River Economic Council, Inc||+13524985018|352-498-5018; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Duval|Northeast Florida Community Action Agency, Inc.||+19043987472|904-398-7472|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Escambia|Community Action Program Committee, Inc.||+18506072088|850-607-2088; 850-308-1472; 844-356-8139|https://capc-pensacola.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Flagler|Northeast Florida Community Action Agency, Inc.||+19043987472|904-398-7472|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Franklin|Capital Area Community Action Agency, Inc.||+18506885781|850-688-5781; 850-759-0856|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Gadsden|Capital Area Community Action Agency, Inc.||+18502222043|850-222-2043|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Gilchrist|Suwannee River Economic Council, Inc.||+13524632940|352-463-2940; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Glades|Agricultural and Labor Program, Inc.||+18639832774|863-983-2774; 863-956-3491; 863-247-3001|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Gulf|Capital Area Community Action Agency, Inc.||+18507590856|850-759-0856; 850-759-0824|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Hamilton|Suwannee River Economic Council, Inc.||+13867921136|386-792-1136; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Hardee|Step Up Suncoast, Inc.||+19418270188|941-827-0188; 855-827-5081|https://stepupsuncoast.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Hendry|Agricultural and Labor Program, Inc.||+18639832774|863-983-2774; 863-675-0114; 863-956-3491|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Hernando|You Thrive Florida||+13527961425|352-796-1425|https://youthrivefl.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Highlands|Agricultural and Labor Program, Inc.||+18636572076|863-657-2076; 844-356-8138; 863-956-3491|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Hillsborough|Hillsborough County Social Services Department||+18132725220|813-272-5220|https://www.hillsboroughcounty.org/en/residents/social-services|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Holmes|Tri-County Community Council, Inc||+18505474263|850-547-4263|https://tricountycommunitycouncil.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Indian River|Economic Opportunities Council of Indian River County, Inc.||+17725624177|772-562-4177|https://eocofirc.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Jackson|Jackson County Senior Citizens Org. Inc.||+18502634650|850-263-4650; 850-482-5028|http://www.jacksonseniors.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Jefferson|Capital Area Community Action Agency, Inc.||+18502222043|850-222-2043|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Lafayette|Suwannee River Economic Council, Inc.||+13862942202|386-294-2202; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Lake|Lake Community Action Agency, Inc.||+13524340554|352-434-0554; 352-602-4150; 352-602-4488; 352-787-1156; 352-315-1937|http://www.lakecaa.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Lee|Lee County Department of Human Services||+12395337900|239-533-7900|https://www.leegov.com/dhs|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Leon|Capital Area Community Action Agency, Inc.||+18502222043|850-222-2043|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Levy|Central Florida Community Action Agency, Inc.||+13524931734|352-493-1734|http://www.cfcaa.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Liberty|Capital Area Community Action Agency, Inc.||+18508793933|850-879-3933; 850-759-0824|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Madison|Suwannee River Economic Council, Inc.||+18509736709|850-973-6709; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Manatee|Step Up Suncoast, Inc.||||https://stepupsuncoast.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Marion|Central Florida Community Action Agency, Inc.||+13527323008|352-732-3008|http://www.cfcaa.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Martin|Agricultural and Labor Program, Inc.||+17722864673|772-286-4673; 772-287-9140|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Miami-Dade|Miami-Dade County Community Action Agency||+17864694640|786-469-4640|https://www.miamidade.gov/global/home.page|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Monroe|Monroe County Board of County Commissioners||+13052924408|305-292-4408|https://www.monroecounty-fl.gov/1015/Board-of-County-Commissioners|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Nassau|Northeast Florida Community Action Agency, Inc.||+19043987472|904-398-7472|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Okaloosa|Tri-County Community Council, Inc.||+18503061134|850-306-1134; 850-200-4425|https://tricountycommunitycouncil.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Okeechobee|Economic Opportunities Council of Indian River County, Inc.||+18633572240|863-357-2240|https://eocofirc.net|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Orange|Orange County Youth and Family Services Division||+14078367429|407-836-7429|https://www.orangecountyfl.net/FamiliesHealthSocialSvcs.aspx#.Xuu3dmhKi70|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Osceola|Osceola County Council on Aging, Inc||+14078468532|407-846-8532|https://osceolagenerations.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Palm Beach|Palm Beach County||+15613554792|561-355-4792|https://discover.pbc.gov/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Pasco|You Thrive Florida||+13527961425|352-796-1425|https://youthrivefl.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Pinellas|Pinellas County Urban League, Inc.||+17273270977|727-327-0977; 727-327-2081|https://www.pcul.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Polk|Agricultural and Labor Program, Inc.||+18632473001|863-247-3001; 863-956-3491; 863-299-3173|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Putnam|Northeast Florida Community Action Agency, Inc.||+13863853954|386-385-3954|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|St. Johns|Northeast Florida Community Action Agency, Inc.||+19048240978|904-824-0978|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|St. Lucie|Agricultural and Labor Program, Inc.||+17724617788|772-461-7788|https://alpi.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Santa Rosa|Tri-County Community Council, Inc.||+18509810036|850-981-0036; 850-547-4263|https://tricountycommunitycouncil.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Sarasota|The Salvation Army||+19419544673|941-954-4673; 941-364-8845; 941-484-6227|https://sarasota.salvationarmyflorida.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Seminole|FloridaCommerce (state administers LIHEAP directly)||+18507178450|850-717-8450||FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Sumter|You Thrive Florida||+13527961425|352-796-1425|https://youthrivefl.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Suwannee|Suwannee River Economic Council, Inc.||+13863626079|386-362-6079; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Taylor|Suwannee River Economic Council, Inc.||+18505848858|850-584-8858; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Union|Suwannee River Economic Council, Inc.||+13864962342|386-496-2342; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Volusia|Volusia County Community Assistance Division||+13867365956|386-736-5956; 386-239-7830; 386-254-4675|https://www.volusia.org/services/community-services/community-assistance/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Wakulla|Capital Area Community Action Agency||+18509202511|850-920-2511; 850-926-3122|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Walton|Tri-County Community Council, Inc.||+18508923615|850-892-3615|https://tricountycommunitycouncil.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Washington|Tri-County Community Council, Inc.||+18506384520|850-638-4520|https://tricountycommunitycouncil.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
