state|county|org_name|address|phone|url|source|source_url|retrieved
NC|Cabarrus|Cabarrus County Department of Social Services|1303 S. Cannon Blvd., Kannapolis, NC 28083|+17049201400|/divisions/social-services/cabarrus-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Caldwell|Caldwell County Department of Social Services|2345 Morganton Blvd., SW, Suite A, Lenoir, NC 28645|+18284268200|/divisions/social-services/caldwell-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Camden|Camden County Department of Social Services|117 NC HWY 343 N, Camden, NC 27921|+12523314787|/divisions/social-services/camden-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Carteret|Carteret County Department of Social Services|210 Craven St., Beaufort, NC 28516|+12527283181|/divisions/social-services/carteret-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Caswell|Caswell County Department of Social Services|175 County Park Road., Yanceyville, NC 27379|+13366944141|/divisions/social-services/caswell-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Catawba|Catawba County Department of Social Services|3030 11th Ave. Drive, S.E., Hickory, NC 28602|+18286955600|/divisions/social-services/catawba-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Chatham|Chatham County Department of Social Services|102 Camp Drive, Pittsboro, NC 27312|+19195422759|/divisions/social-services/chatham-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Cherokee|Cherokee County Department of Social Services|4800 W US Highway 64, Murphy, NC 28906|+18288377455|/divisions/social-services/cherokee-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Chowan|Chowan County Department of Social Services|100 W. Freemason Circle, Edenton, NC 27932|+12524827441|/divisions/social-services/chowan-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Clay|Clay County Department of Social Services|119 Courthouse Drive, Hayesville, NC 28904|+18283896301|/divisions/social-services/clay-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Cleveland|Cleveland County Department of Social Services|130 South Post Road, Shelby, NC 28150|+17044870661|/divisions/social-services/cleveland-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Columbus|Columbus County Department of Social Services|40 Government Complex Road, Whiteville, NC 28472|+19106422800|/divisions/social-services/columbus-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Craven|Craven County Department of Social Services|2818 Neuse Blvd., New Bern, NC 28561|+12526364900|/divisions/social-services/craven-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Cumberland|Cumberland County Department of Social Services|1225 Ramsey St., Fayetteville, NC 28301|+19103231540|/divisions/social-services/cumberland-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Currituck|Currituck County Department of Social Services|2793 Caratoke Hwy., Currituck, NC 27929|+12522323083|/divisions/social-services/currituck-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Dare|Dare County Department of Social Services|109 Exeter St., Manteo, NC 27954|+12524755500|/divisions/social-services/dare-county-health-and-human-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Davidson|Davidson County Department of Social Services|913 Greensboro St., Lexington, NC 27292|+13362422500|/divisions/social-services/davidson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Davie|Davie County Department of Social Services|154 Government Center Drive, Mocksville, NC 27028|+13367536250|/divisions/social-services/davie-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Duplin|Duplin County Department of Social Services|423 N. Main St., Kenansville, NC 28349|+19102962200|/divisions/social-services/duplin-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Durham|Durham County Department of Social Services|414 E. Main St., Durham, NC 27702-0810|+19195608000|/divisions/social-services/durham-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Edgecombe|Edgecombe County Department of Social Services|122 E. St. James St., Tarboro, NC 27886|+12526417611|/divisions/social-services/edgecombe-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Forsyth|Forsyth County Department of Social Services|741 North Highland Ave., Winston-Salem, NC 27101|+13367033800|/divisions/social-services/forsyth-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Franklin|Franklin County Department of Social Services|107 Industrial Drive, Louisburg, NC 27549|+19194965721|/divisions/social-services/franklin-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Gaston|Gaston County Department of Social Services|330 Dr. Martin Luther King Jr. Way, Gastonia, NC 28052|+17048627500|/divisions/social-services/gaston-county-health-and-human-services-social-services-division|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Gates|Gates County Department of Social Services|122 Main St., Gatesville, NC 27938|+12523570075|/divisions/social-services/gates-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Graham|Graham County Department of Social Services|191 P & J Road, Robbinsville, NC 28771|+18284797911|/divisions/social-services/graham-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Granville|Granville County Department of Social Services|410 West Spring St., Oxford NC 27565|+19196931511|/divisions/social-services/granville-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Greene|Greene County Department of Social Services|227 Kingold Blvd. Suite A, Snow Hill, NC 28580|+12527475932|/divisions/social-services/greene-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Guilford|Guilford County Department of Social Services|1203 Maple St., Greensboro, NC 27405|+13366413000|/divisions/social-services/guilford-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Halifax|Halifax County Department of Social Services|4421 Hwy 301, Halifax, NC 27839|+12525362511|/divisions/social-services/halifax-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Harnett|Harnett County Department of Social Services|311 Cornelius Harnett Blvd., Lillington, NC 27546|+19108937500|/divisions/social-services/harnett-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Haywood|Haywood County Department of Social Services|157 Paragon Parkway, Suite 300, Clyde, NC 28721|+18284526620|/divisions/social-services/haywood-county-health-and-human-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Henderson|Henderson County Department of Social Services|1200 Spartanburg Hwy., Suite 300, Hendersonville, N.C.  28792|+18286975500|/divisions/social-services/henderson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Hertford|Hertford County Department of Social Services|704 N King St., Winton, NC 27986|+12523587830|/divisions/social-services/hertford-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Hoke|Hoke County Department of Social Services|314 South Magnolia St., Raeford, NC 28376|+19108758725|/divisions/social-services/hoke-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Hyde|Hyde County Department of Social Services|35015 US Hwy 264, Engelhard, NC  27824|+12529264199|/divisions/social-services/hyde-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Iredell|Iredell County Department of Social Services|549 Eastside Drive, Statesville, NC 28625|+17048735631|/divisions/social-services/iredell-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Jackson|Jackson County Department of Social Services|15 Griffin St., Sylva, NC 28779|+18285865546|/divisions/social-services/jackson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Johnston|Johnston County Department of Social Services|714 North St., Smithfield, NC 27577|+19199895300|/divisions/social-services/johnston-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Jones|Jones County Department of Social Services|418 NC HWY 58 N., Unit D, Trenton, NC 28585|+12524482581|/divisions/social-services/jones-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Lee|Lee County Department of Social Services|530 Carthage St., Sanford, NC 27330|+19197184690|/divisions/social-services/lee-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Lenoir|Lenoir County Department of Social Services|130 W. King St., Kinston, NC 28502|+12525596400|/divisions/social-services/lenoir-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Lincoln|Lincoln County Department of Social Services|1136 E. Main St., Lincolnton, NC 28093|+17047320738|/divisions/social-services/lincoln-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Macon|Macon County Department of Social Services|1832 Lakeside Drive, Franklin, NC 28734|+18283492124|/divisions/social-services/macon-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Madison|Madison County Department of Social Services|5707 U.S. Hwy 25/70, Suite 1, Marshall, NC 28753|+18286499498|/divisions/social-services/madison-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Martin|Martin County Department of Social Services|305 E. Main St., Williamston, NC 27892|+12527894400|/divisions/social-services/martin-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|McDowell|McDowell County Department of Social Services|145 E. Court St., Marion, NC 28752|+18286523355|/divisions/social-services/mcdowell-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Mecklenburg|Mecklenburg County Department of Social Services|430 Stitt Road, Charlotte, NC 28213|+17043363000|/divisions/social-services/mecklenburg-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Mitchell|Mitchell County Department of Social Services|347 Long View Drive, Bakersville, NC 28705|+18286882175|/divisions/social-services/mitchell-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Montgomery|Montgomery County Department of Social Services|102 E. Spring St., Drawer N, Troy, NC 27371|+19105766531|/divisions/social-services/montgomery-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Moore|Moore County Department of Social Services|1036 Carriage Oaks Drive, Carthage, NC 28327|+19109472436|/divisions/social-services/moore-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Nash|Nash County Department of Social Services|120 Washington St. Nashville, NC 27856|+12524599818|/divisions/social-services/nash-county-human-services-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|New Hanover|New Hanover County Department of Social Services|1650 Greenfield St., Wilmington, NC 28401|+19107983500|/divisions/social-services/new-hanover-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Northampton|Northampton County Department of Social Services|9588 NC 305 HWY, Jackson, NC 27845|+12525345811|/divisions/social-services/northampton-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Onslow|Onslow County Department of Social Services|612 College St., Jacksonville, NC 28540|+19104554145|/divisions/social-services/onslow-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Orange|Orange County Department of Social Services|113 Mayo St., Hillsborough, NC 27278|+19192452800|/divisions/social-services/orange-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Pamlico|Pamlico County Department of Social Services|828 Alliance Main St., Bayboro, NC 28515|+12527454086|/divisions/social-services/pamlico-county-human-services-center|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Pasquotank|Pasquotank County Department of Social Services|709 Roanoke Ave., Elizabeth City, NC 27909|+12523382126|/divisions/social-services/pasquotank-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Pender|Pender County Department of Social Services|298-B Progress Drive, Burgaw, NC 28425|+19102591240|/divisions/social-services/pender-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Perquimans|Perquimans County Department of Social Services|103 Charles St., Hertford, NC 27944|+12524267373|/divisions/social-services/perquimans-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Person|Person County Department of Social Services|355-B S. Madison Blvd., Roxboro, NC 27573|+13365998361|/divisions/social-services/person-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Pitt|Pitt County Department of Social Services|1717 W. Fifth St., Greenville, NC 27834|+12529021110|/divisions/social-services/pitt-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Polk|Polk County Department of Social Services|231 Wolverine Trail, Mill Spring, 28756|+18288942100|/polk-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Randolph|Randolph County Department of Social Services|1512 N. Fayetteville St., Asheboro, NC 27204-3239|+13366838000|/divisions/social-services/randolph-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Richmond|Richmond County Department of Social Services|125 Caroline St., Rockingham, NC 28379|+19109978480|/divisions/social-services/richmond-county-department-human-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Robeson|Robeson County Department of Social Services|120 Glen Cowan Road, Lumberton, NC 28360|+19106713500|/divisions/social-services/robeson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Rockingham|Rockingham County Department of Social Services|411 NC HWY 65, Wentworth, NC 27375|+13363421394|/divisions/social-services/rockingham-county-department-health-and-human-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Rowan|Rowan County Department of Social Services|1813 E. Innes St., Salisbury, NC 28146|+17042168330|/divisions/social-services/rowan-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Rutherford|Rutherford County Department of Social Services|389 Fairground Road, Spindale, NC 28160|+18282876165|/divisions/social-services/rutherford-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Sampson|Sampson County Department of Social Services|360 County Complex Road, Suite 100, Clinton, NC 28328|+19105927131|/divisions/social-services/sampson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Scotland|Scotland County Department of Social Services|1405 West Blvd., Laurinburg, NC 28353|+19102772500|/divisions/social-services/scotland-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Stanly|Stanly County Department of Social Services|1000 N. First St., Suite 2, Albemarle, NC 28001|+17049826100|/divisions/social-services/stanly-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Stokes|Stokes County Department of Social Services|1010 N. Main St., Danbury, NC 27016|+13365932861|/divisions/social-services/stokes-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Surry|Surry County Department of Social Services|118 Hamby Road, Dobson, NC 27017|+13364018700|/divisions/social-services/surry-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Swain|Swain County Department of Social Services|80 Academy St., Bryson City, NC 28713|+18284886921|/divisions/social-services/swain-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Transylvania|Transylvania County Department of Social Services|106 E. Morgan St., Brevard, NC 28712|+18288843174|/divisions/social-services/transylvania-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Tyrrell|Tyrrell County Department of Social Services|102 N. Road St., Columbia, NC 27925|+12527963421|/divisions/social-services/tyrrell-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Union|Union County Department of Social Services|2330 Concord Avenue, Monroe, NC 28110|+17042964300|/divisions/social-services/union-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Vance|Vance County Department of Social Services|500 North Beckford Drive Suite C, Henderson, NC 27536|+12524925001|/divisions/social-services/vance-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Wake|Wake County Department of Social Services|220 Swinburne St., Raleigh, NC 27620|+19192127000|/divisions/social-services/wake-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Warren|Warren County Department of Social Services|307 N. Main St., Warrenton, NC 27589|+12522575000|/divisions/social-services/warren-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Washington|Washington County Department of Social Services|209 E. Main St., Plymouth, NC 27962|+12527934041|/divisions/social-services/washington-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Watauga|Watauga County Department of Social Services|132 Poplar Grove Connector, Suite C, Boone, NC 28607|+18282658100|/divisions/social-services/watauga-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Wayne|Wayne County Department of Social Services|1560 Clingman St., Goldsboro, NC 27534|+19195804034|/divisions/social-services/wayne-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Wilkes|Wilkes County Department of Social Services|304 College St., Wilkesboro, NC 28697|+13366517400|/divisions/social-services/wilkes-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Wilson|Wilson County Department of Social Services|100 NE Gold St., Wilson, NC 27894|+12522064000|/divisions/social-services/wilson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Yadkin|Yadkin County Department of Social Services|250 Willow St., Yadkinville, NC 27055|+13368497910|/divisions/social-services/yadkin-county-human-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Yancey|Yancey County Department of Social Services|320 Pensacola Road, Burnsville, NC 28714|+18286826148|/divisions/social-services/yancey-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
